Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,27.45,28.8,27.39,28.75,20.3927065777,4265400
2002-01-03,29.2,29.2,28.29,28.49,20.208285579,3960700
2002-01-04,28.66,29.05,28.33,28.59,20.2792167324,2082400
2002-01-07,28.69,29.35,28.48,28.92,20.5132895383,3146300
2002-01-08,29.1,30.03,28.96,29.37,20.8324797282,5273300
2002-01-09,29.51,29.87,28.93,29.05,20.6055000376,2260700
2002-01-10,29.15,29.5,28.36,29.34,20.8112003822,3798700
2002-01-11,29.5,29.66,29.11,29.45,20.8892246508,1853200
2002-01-14,29.29,29.36,28.27,28.44,20.1728200024,2776000
2002-01-15,28.7,28.94,27.87,28.44,20.1728200024,2391200
2002-01-16,28.35,28.55,27.53,27.6,19.5769983145,1208300
2002-01-17,27.71,28.1,27.34,27.48,19.4918809306,1543200
2002-01-18,27.34,27.4,26.55,26.79,19.0024559727,2936500
2002-01-22,26.8,27.26,26.57,26.58,18.8535005507,2155500
2002-01-23,27.36,27.36,26.3,27.33,19.3854842006,1756600
2002-01-24,27.5,27.9,27.07,27.5,19.5060671612,1525600
2002-01-25,27.45,28.15,27.29,28.0,19.8607229278,1794800
2002-01-28,28.1,28.18,27.45,28.17,19.9813058884,1817400
2002-01-29,28.17,28.4,26.75,27.23,19.3145530473,2616800
2002-01-30,27.18,27.45,26.41,26.99,19.1443182793,2586700
2002-01-31,27.01,27.32,26.51,27.3,19.3642048546,2614600
2002-02-01,27.35,27.35,26.27,26.99,19.1443182793,2246600
2002-02-04,26.9,26.91,25.36,25.69,18.2222132863,3732200
2002-02-05,25.3,25.75,24.76,25.0,17.7327883284,3736800
2002-02-06,25.12,25.91,24.86,25.01,17.7398814437,2249600
2002-02-07,25.11,25.67,24.95,25.09,17.7966263664,1855500
2002-02-08,25.12,25.76,24.96,25.63,18.1796545943,1656000
2002-02-11,25.72,25.97,25.31,25.9,18.3711687082,3010200
2002-02-12,25.73,25.74,25.29,25.38,18.002326711,1548300
2002-02-13,25.36,25.48,24.7,25.15,17.8391850584,2325600
2002-02-14,25.24,25.28,23.87,24.19,17.1582459866,4604500
2002-02-15,24.35,24.35,22.8,23.07,16.3638170694,4733700
2002-02-19,22.85,23.06,22.1,22.34,15.8460196503,3801700
2002-02-20,22.9,22.9,21.92,22.7,16.1013718022,6981500
2002-02-21,22.78,23.4,22.46,23.03,16.3354446081,5039500
2002-02-22,23.13,23.48,22.73,22.9,16.2432341088,3905300
2002-02-25,23.0,23.22,22.55,22.7,16.1013718022,5424300
2002-02-26,23.2,24.54,22.95,24.3,17.2362702552,6864500
2002-02-27,24.45,24.5,23.31,23.6,16.739752182,3339100
2002-02-28,24.59,26.25,24.5,26.12,18.5272172455,11667100
2002-03-01,26.2,27.05,25.89,27.0,19.1514113947,3941200
2002-03-04,26.94,27.79,26.75,27.79,19.7117675058,3598400
2002-03-05,27.62,27.98,26.46,26.81,19.0166422034,2823200
2002-03-06,26.8,27.61,26.55,27.41,19.4422291233,2654700
2002-03-07,27.34,27.36,25.65,26.14,18.5414034762,3589400
2002-03-08,26.65,27.09,26.48,26.77,18.988269742,2668800
2002-03-11,26.7,27.74,26.61,27.6,19.5769983145,2732700
2002-03-12,27.29,27.46,26.98,27.26,19.3358323933,2870300
2002-03-13,27.11,27.54,27.01,27.45,19.4706015846,2433800
2002-03-14,27.89,27.89,27.37,27.55,19.5415327379,3122000
2002-03-15,27.7,28.15,27.5,27.91,19.7968848898,1854600
2002-03-18,28.01,28.52,28.0,28.45,20.1799131177,1914900
2002-03-19,28.37,28.46,27.71,28.13,19.9529334271,3490400
2002-03-20,27.94,28.0,27.66,27.76,19.6904881598,1775900
2002-03-21,28.64,28.64,28.0,28.59,20.2792167324,2689500
2002-03-22,28.61,28.69,28.34,28.62,20.3004960783,1654600
2002-03-25,28.49,28.79,28.25,28.35,20.1089819644,1317200
2002-03-26,28.29,28.75,28.25,28.55,20.250844271,2065900
2002-03-27,28.65,28.65,28.28,28.44,20.1728200024,1877900
2002-03-28,28.42,28.63,28.01,28.32,20.0877026184,1294000
2002-04-01,28.4,28.4,27.71,28.32,20.0877026184,2100500
2002-04-02,28.19,28.53,26.76,26.81,19.0166422034,2667900
2002-04-03,26.85,27.46,26.79,27.22,19.307459932,3239000
2002-04-04,27.2,27.8,25.75,27.73,19.6692088139,4546900
2002-04-05,27.8,28.37,27.66,27.71,19.6550225832,1891700
2002-04-08,27.53,27.8,27.26,27.69,19.6408363525,1316500
2002-04-09,27.81,27.97,27.5,27.54,19.5344396226,1433000
2002-04-10,27.86,28.17,27.52,27.7,19.6479294679,1942100
2002-04-11,27.57,27.77,27.21,27.35,19.3996704313,1591000
2002-04-12,27.37,28.15,27.11,28.11,19.9387471964,1691800
2002-04-15,28.01,28.53,27.41,27.53,19.5273465072,2806100
2002-04-16,27.8,29.38,27.8,29.35,20.8182934975,3272800
2002-04-17,29.45,29.74,28.35,29.28,20.7686416902,2699000
2002-04-18,29.2,29.55,28.22,28.42,20.1586337717,2538300
2002-04-19,28.51,28.6,27.89,28.37,20.1231681951,2538800
2002-04-22,28.28,28.4,27.54,27.71,19.6550225832,1396000
2002-04-23,27.55,28.37,27.45,28.32,20.0877026184,2489700
2002-04-24,28.33,28.79,27.7,28.05,19.8961885045,2820300
2002-04-25,27.83,28.13,26.8,27.42,19.4493222386,2991900
2002-04-26,27.71,27.88,26.9,27.15,19.2578081246,2243300
2002-04-29,27.2,27.2,26.37,26.52,18.8109418588,2138000
2002-04-30,26.45,27.49,26.44,27.2,19.2932737013,3133300
2002-05-01,27.17,27.64,26.53,27.61,19.5840914299,2498900
2002-05-02,26.06,27.09,25.63,26.26,18.6265208601,7566400
2002-05-03,26.29,26.3,23.97,24.84,17.6192984831,11990400
2002-05-06,24.9,25.0,24.25,24.58,17.4348774845,3647700
2002-05-07,24.4,25.64,24.39,25.5,18.087444095,3542400
2002-05-08,25.66,26.25,25.66,25.86,18.3427962469,4910600
2002-05-09,25.76,25.79,24.35,24.54,17.4065050232,4034100
2002-05-10,24.69,25.45,24.02,24.08,17.0802217179,2195700
2002-05-13,24.13,25.0,24.12,24.39,17.3001082932,2554900
2002-05-14,24.76,25.26,24.36,24.59,17.4419705998,4366900
2002-05-15,24.23,24.84,24.12,24.37,17.2859220625,2806500
2002-05-16,24.36,24.71,24.11,24.64,17.4774361765,2183600
2002-05-17,24.79,25.12,24.27,24.52,17.3923187925,3146800
2002-05-20,24.5,25.02,24.41,24.63,17.4703430611,1963700
2002-05-21,24.85,24.9,24.13,24.55,17.4135981385,3374700
2002-05-22,24.57,25.11,24.02,24.75,17.5554604451,2875500
2002-05-23,24.81,25.59,24.81,25.36,17.9881404803,2228500
2002-05-24,25.37,25.56,24.68,24.83,17.6122053678,1678100
2002-05-28,24.85,25.1,24.61,24.9,17.6618571751,1486500
2002-05-29,24.87,25.72,24.87,25.1,17.8037194817,3294200
2002-05-30,25.06,25.55,24.81,25.52,18.1016303256,1854500
2002-05-31,25.51,25.74,25.08,25.19,17.8675575197,2501600
2002-06-03,25.21,25.75,24.2,24.51,17.3852256772,2015100
2002-06-04,24.32,24.74,23.9,24.45,17.3426669852,2342900
