Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,31.0,31.28,30.24,30.6,10.2000051,659400
2002-01-03,30.74,30.74,29.85,30.35,10.116671725,1067867
2002-01-04,30.44,30.74,29.97,30.2,10.0666717,1350267
2002-01-07,30.0,31.2,28.93,29.74,9.91333829,1679400
2002-01-08,29.86,29.89,28.43,28.6,9.5333381,2043467
2002-01-09,28.68,29.37,28.31,28.75,9.583338125,696867
2002-01-10,28.59,29.3,28.56,28.95,9.650004825,1441067
2002-01-11,28.96,29.0,28.06,28.11,9.370004685,1925467
2002-01-14,27.65,28.04,27.45,27.53,9.176671255,1100800
2002-01-15,27.4,28.75,26.96,27.92,9.30667132,834200
2002-01-16,27.77,29.28,27.75,29.11,9.703338185,1326000
2002-01-17,29.28,30.0,28.85,29.9,9.96667165,1447400
2002-01-18,29.86,30.0,28.75,29.09,9.696671515,839000
2002-01-22,29.07,30.04,28.91,29.2,9.7333382,1364800
2002-01-23,29.29,29.29,28.75,28.95,9.650004825,1416867
2002-01-24,29.0,29.66,28.96,29.06,9.68667151,838867
2002-01-25,29.77,32.95,29.77,32.78,10.92667213,6346267
2002-01-28,32.59,33.96,32.59,33.23,11.076672205,2859867
2002-01-29,33.17,33.74,32.2,32.76,10.92000546,1222467
2002-01-30,32.75,33.15,31.61,33.0,11.0000055,1237667
2002-01-31,33.18,33.61,32.91,33.01,11.003338835,755200
2002-02-01,33.5,33.5,31.84,32.95,10.983338825,1061267
2002-02-04,32.93,32.93,31.26,31.53,10.510005255,496400
2002-02-05,31.5,32.05,31.05,31.65,10.550005275,697467
2002-02-06,31.7,32.45,31.68,32.0,10.666672,922467
2002-02-07,32.1,32.47,31.21,31.35,10.450005225,685400
2002-02-08,31.5,31.6,31.11,31.29,10.430005215,377800
2002-02-11,31.85,32.87,31.6,32.79,10.930005465,630867
2002-02-12,32.77,32.78,31.78,32.09,10.696672015,541267
2002-02-13,32.05,32.3,31.1,31.19,10.396671865,1512867
2002-02-14,31.41,31.6,30.9,31.36,10.45333856,702000
2002-02-15,31.39,31.39,30.43,30.85,10.283338475,1573867
2002-02-19,30.8,30.83,30.08,30.1,10.03333835,627267
2002-02-20,30.68,30.68,29.35,29.88,9.96000498,528400
2002-02-21,29.85,31.5,29.7,30.74,10.24667179,726800
2002-02-22,30.99,31.02,28.65,29.25,9.750004875,964867
2002-02-25,29.3,30.85,29.3,30.6,10.2000051,631267
2002-02-26,30.73,31.44,30.15,31.25,10.416671875,423267
2002-02-27,31.31,32.3,31.3,32.0,10.666672,1084200
2002-02-28,32.12,32.52,31.8,32.04,10.68000534,1086400
2002-03-01,32.03,32.14,31.37,31.95,10.650005325,436600
2002-03-04,31.84,32.89,31.8,32.48,10.82667208,853800
2002-03-05,32.79,32.8,30.7,31.38,10.46000523,716200
2002-03-06,31.75,32.0,30.05,31.35,10.450005225,1276600
2002-03-07,31.37,31.83,30.44,30.98,10.32667183,767667
2002-03-08,31.14,31.88,31.05,31.54,10.51333859,563600
