Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,2.83,2.94,2.52,2.69,70.4632655852,748800
2002-01-03,2.77,2.99,2.72,2.97,77.7977318915,665600
2002-01-04,3.3,3.3,2.99,3.13,81.9888554951,518400
2002-01-07,3.28,3.33,3.05,3.15,82.5127459455,409600
2002-01-08,3.25,3.4,2.9,3.0,78.5835675671,825600
2002-01-09,3.03,3.39,2.97,3.38,88.5374861256,985600
2002-01-10,3.4,3.53,3.11,3.23,84.6083077473,537600
2002-01-11,3.3,3.33,3.11,3.18,83.2985816212,576000
2002-01-14,3.14,3.15,2.75,2.87,75.1782796392,736000
2002-01-15,2.91,2.99,2.8,2.83,74.1304987383,313600
2002-01-16,2.85,2.89,2.55,2.72,71.2491012609,473600
2002-01-17,2.65,2.75,2.5,2.51,65.7482515312,438400
2002-01-18,2.52,2.54,2.16,2.32,60.7712922519,659200
2002-01-22,2.2,2.2,2.04,2.1,55.008497297,678400
2002-01-23,2.04,2.12,1.97,2.07,54.2226616213,649600
2002-01-24,2.11,2.35,2.11,2.32,60.7712922519,716800
2002-01-25,2.37,2.6,2.33,2.42,63.3907445042,713600
2002-01-28,2.52,2.52,2.25,2.31,60.5093470267,1068800
2002-01-29,2.35,2.4,2.2,2.26,59.1996209006,201600
2002-01-30,2.29,2.31,2.1,2.31,60.5093470267,364800
2002-01-31,2.32,2.42,2.27,2.29,59.9854565763,249600
2002-02-01,2.33,2.34,2.01,2.13,55.7943329727,467200
2002-02-04,2.13,2.14,1.97,2.05,53.6987711709,352000
2002-02-05,2.02,2.08,1.81,1.84,48.1979214412,636800
2002-02-06,1.82,1.9,1.5,1.59,41.6492908106,784000
2002-02-07,1.5,1.55,1.4,1.46,38.2440028827,768000
2002-02-08,1.57,1.82,1.52,1.82,47.6740309907,768000
2002-02-11,1.91,2.32,1.9,2.22,58.1518399997,464000
2002-02-12,2.24,2.24,2.01,2.14,56.0562781979,268800
2002-02-13,2.19,2.28,2.15,2.18,57.1040590988,220800
2002-02-14,2.22,2.3,1.86,2.05,53.6987711709,675200
2002-02-15,2.07,2.1,1.8,1.89,49.5076475673,576000
2002-02-19,1.85,1.87,1.58,1.6,41.9112360358,460800
2002-02-20,1.6,1.78,1.56,1.56,40.8634551349,300800
2002-02-21,1.64,1.66,1.38,1.41,36.9342767566,476800
2002-02-22,1.46,1.49,1.4,1.49,39.0298385583,243200
2002-02-25,1.5,1.64,1.49,1.58,41.3873455854,201600
2002-02-26,1.55,1.57,1.42,1.46,38.2440028827,182400
2002-02-27,1.49,1.5,1.35,1.4,36.6723315313,291200
2002-02-28,1.4,1.41,1.21,1.25,32.743153153,412800
2002-03-01,1.28,1.34,1.25,1.3,34.0528792791,304000
2002-03-04,1.4,1.42,1.05,1.08,28.2900843242,723200
2002-03-05,1.15,1.18,1.05,1.08,28.2900843242,1257600
2002-03-06,1.09,1.09,0.99,1.06,27.7661938737,1238400
2002-03-07,1.22,1.34,1.11,1.26,33.0050983782,2105600
2002-03-08,1.28,1.32,1.14,1.19,31.1714818016,1155200
2002-03-11,1.21,1.3,1.14,1.29,33.7909340539,342400
2002-03-12,1.26,1.47,1.23,1.41,36.9342767566,691200
2002-03-13,1.44,1.45,1.3,1.37,35.8864958557,336000
2002-03-14,1.39,1.4,1.28,1.33,34.8387149548,307200
