Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,21.29,21.5,19.86,21.29,10.645,823200
2002-01-03,24.24,24.24,21.05,24.08,12.04,1313900
2002-01-04,24.24,25.56,24.16,24.58,12.29,1119200
2002-01-07,24.61,25.33,22.56,22.79,11.395,1021000
2002-01-08,22.5,22.5,19.85,20.98,10.49,2000900
2002-01-09,21.05,21.28,18.8,19.11,9.555,4828800
2002-01-10,19.13,19.58,18.25,18.65,9.325,1687400
2002-01-11,18.65,19.54,18.26,18.26,9.13,856100
2002-01-14,18.2,19.07,18.0,18.83,9.415,1334900
2002-01-15,18.85,19.73,18.84,19.67,9.835,1167200
2002-01-16,19.35,20.6,18.15,19.84,9.92,1712200
2002-01-17,20.21,21.65,20.2,21.45,10.725,1862600
2002-01-18,20.85,21.6,19.36,19.52,9.76,1030000
2002-01-22,20.04,20.25,18.43,19.13,9.565,662500
2002-01-23,19.67,19.67,18.1,19.02,9.51,981300
2002-01-24,18.23,19.29,17.78,18.26,9.13,3964700
2002-01-25,18.25,19.75,17.85,19.61,9.805,1245800
2002-01-28,19.61,20.73,19.6,20.58,10.29,1226700
2002-01-29,20.57,21.89,20.46,21.63,10.815,1632400
2002-01-30,21.6,22.17,20.18,22.17,11.085,1122900
2002-01-31,22.2,23.85,22.19,23.38,11.69,1665800
2002-02-01,23.5,23.5,21.7,21.8,10.9,894100
2002-02-04,21.66,21.66,20.65,20.73,10.365,561800
2002-02-05,20.46,20.62,19.15,19.5,9.75,1073600
2002-02-06,19.83,20.0,18.41,19.13,9.565,677800
2002-02-07,19.13,21.25,18.85,20.93,10.465,1500500
2002-02-08,21.01,21.73,19.5,20.23,10.115,1813700
2002-02-11,20.21,20.88,19.62,20.59,10.295,458500
2002-02-12,20.75,23.58,20.5,23.16,11.58,2147400
2002-02-13,22.97,23.68,22.18,23.47,11.735,1022400
2002-02-14,23.61,24.35,22.75,22.77,11.385,1581000
2002-02-15,22.75,23.4,22.31,23.15,11.575,635900
2002-02-19,22.7,22.71,20.49,20.54,10.27,1269200
2002-02-20,21.83,21.83,19.9,21.83,10.915,1508200
2002-02-21,21.65,23.94,21.55,22.86,11.43,3224600
2002-02-22,23.05,23.21,21.81,22.66,11.33,1251000
2002-02-25,22.84,23.58,22.51,23.03,11.515,966900
2002-02-26,23.12,24.95,22.15,24.72,12.36,1728700
2002-02-27,24.99,25.81,24.34,24.57,12.285,2958100
2002-02-28,24.67,24.67,21.75,21.85,10.925,2039700
2002-03-01,22.14,23.25,20.73,21.45,10.725,2467800
2002-03-04,21.48,24.11,21.04,24.08,12.04,1658900
2002-03-05,23.9,24.9,23.22,24.0,12.0,1507700
2002-03-06,23.99,24.25,22.0,22.23,11.115,1754400
2002-03-07,22.56,23.0,21.2,21.55,10.775,1148800
2002-03-08,22.2,23.08,21.9,22.75,11.375,1432400
2002-03-11,22.75,25.83,22.59,25.45,12.725,2020400
2002-03-12,23.79,26.1,23.51,25.25,12.625,3434400
2002-03-13,24.68,27.0,24.67,25.52,12.76,2768300
2002-03-14,26.69,26.69,24.9,25.13,12.565,1420700
2002-03-15,24.75,25.73,24.45,25.3,12.65,858700
2002-03-18,25.59,26.4,25.45,26.21,13.105,972200
2002-03-19,26.28,26.75,25.5,25.8,12.9,1493400
2002-03-20,25.68,25.7,23.55,23.95,11.975,2008700
2002-03-21,26.39,26.39,24.1,26.1,13.05,2249300
2002-03-22,26.13,27.23,25.65,26.07,13.035,1585300
2002-03-25,26.2,26.64,25.0,25.04,12.52,1252300
2002-03-26,24.74,25.75,23.79,24.06,12.03,1780200
2002-03-27,24.0,24.67,23.52,23.7,11.85,901100
2002-03-28,24.32,24.38,22.64,23.24,11.62,1319600
2002-04-01,23.86,23.86,21.83,22.92,11.46,1345900
2002-04-02,22.04,22.74,20.9,21.05,10.525,1318900
2002-04-03,21.27,22.0,20.71,21.51,10.755,1261700
2002-04-04,21.11,21.11,16.55,17.15,8.575,6747400
2002-04-05,18.01,19.1,16.05,16.84,8.42,7375000
2002-04-08,15.82,16.95,14.95,16.46,8.23,2346600
2002-04-09,16.58,16.95,15.6,16.07,8.035,1330400
2002-04-10,16.2,16.59,15.09,15.79,7.895,1108100
2002-04-11,15.55,15.63,14.34,14.96,7.48,1200300
2002-04-12,15.21,15.38,14.05,14.77,7.385,1613100
2002-04-15,14.78,15.55,14.25,15.0,7.5,729000
2002-04-16,15.25,15.73,14.93,15.44,7.72,1418400
2002-04-17,15.35,15.82,14.51,14.83,7.415,1026500
2002-04-18,14.66,14.87,14.12,14.64,7.32,518800
2002-04-19,14.66,14.72,13.85,14.31,7.155,1267600
2002-04-22,13.93,14.45,13.01,13.08,6.54,951200
2002-04-23,13.06,13.63,12.96,13.29,6.645,956900
2002-04-24,13.24,13.64,12.91,13.08,6.54,1115500
2002-04-25,11.42,12.75,11.26,12.59,6.295,3396300
2002-04-26,12.73,13.28,11.8,12.13,6.065,1245800
2002-04-29,12.05,12.21,11.6,12.0,6.0,736100
2002-04-30,11.77,13.41,11.76,13.02,6.51,1264400
2002-05-01,13.09,13.09,11.57,12.2,6.1,1607800
2002-05-02,12.37,12.84,11.8,11.85,5.925,618400
2002-05-03,11.75,12.9,11.41,12.77,6.385,1151000
2002-05-06,12.6,12.71,10.8,11.12,5.56,994700
2002-05-07,11.22,11.83,10.65,11.18,5.59,449900
2002-05-08,11.76,13.15,11.76,12.87,6.435,757200
2002-05-09,12.7,13.25,11.68,11.77,5.885,726300
2002-05-10,11.75,12.14,11.17,11.5,5.75,541400
2002-05-13,11.55,11.91,11.2,11.83,5.915,598500
2002-05-14,12.54,13.76,12.52,13.53,6.765,918000
2002-05-15,13.14,14.17,12.83,13.52,6.76,788700
2002-05-16,13.59,13.8,12.84,13.37,6.685,399500
2002-05-17,13.63,13.84,13.05,13.18,6.59,303000
2002-05-20,13.01,13.2,12.59,12.7,6.35,228300
2002-05-21,12.84,13.3,12.15,12.31,6.155,608000
2002-05-22,12.29,13.32,12.15,12.64,6.32,415900
2002-05-23,12.54,13.37,12.51,13.18,6.59,588800
2002-05-24,13.14,13.2,12.75,12.86,6.43,180700
2002-05-28,12.85,13.0,12.23,12.51,6.255,678800
2002-05-29,12.42,12.5,12.14,12.49,6.245,110500
2002-05-30,12.22,12.42,11.71,12.0,6.0,350200
2002-05-31,12.25,12.39,11.78,11.81,5.905,296800
2002-06-03,11.65,11.81,11.29,11.6,5.8,281300
2002-06-04,11.35,11.95,11.27,11.93,5.965,269700
2002-06-05,12.06,12.65,11.6,12.65,6.325,354200
2002-06-06,12.74,12.78,11.91,11.91,5.955,212000
2002-06-07,11.53,12.25,11.46,12.16,6.08,398600
2002-06-10,12.3,12.48,12.04,12.06,6.03,121800
2002-06-11,12.25,12.42,11.89,12.03,6.015,277400
2002-06-12,12.1,12.1,10.9,11.63,5.815,699100
2002-06-13,11.65,11.66,11.0,11.01,5.505,353700
2002-06-14,10.96,10.99,10.3,10.98,5.49,333300
2002-06-17,10.89,11.35,10.6,11.32,5.66,330800
2002-06-18,11.5,11.64,10.98,11.16,5.58,392200
2002-06-19,11.02,11.76,11.0,11.11,5.555,358400
2002-06-20,11.01,11.3,10.06,10.09,5.045,596100
2002-06-21,10.0,10.01,8.77,9.25,4.625,914500
2002-06-24,9.1,9.49,8.17,9.24,4.62,660000
