Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.3,9.8,9.0,9.8,2.45,89600
2002-01-03,10.03,10.03,9.53,10.0,2.5,152700
2002-01-04,9.905,10.75,9.85,10.7,2.675,232700
2002-01-07,10.69,10.79,10.13,10.71,2.6775,346200
2002-01-08,10.8,10.8,10.6,10.61,2.6525,52100
2002-01-09,10.66,11.4,10.59,10.6,2.65,189200
2002-01-10,10.74,11.94,10.5,11.94,2.985,1162800
2002-01-11,11.99,12.45,11.86,12.16,3.04,1181500
2002-01-14,12.16,13.55,12.0,13.29,3.3225,581600
2002-01-15,13.14,13.85,12.82,13.75,3.4375,575100
2002-01-16,13.5,14.62,13.37,14.6,3.65,585200
2002-01-17,14.49,14.5,13.7,13.8,3.45,384000
2002-01-18,13.7,13.75,13.16,13.55,3.3875,260500
2002-01-22,13.46,13.59,12.85,13.54,3.385,143000
2002-01-23,13.75,13.75,13.34,13.68,3.42,316600
2002-01-24,13.74,13.92,13.6,13.88,3.47,314000
2002-01-25,13.79,14.58,13.7,14.58,3.645,434100
2002-01-28,14.8,15.05,14.44,14.49,3.6225,280500
2002-01-29,14.51,14.58,13.31,13.83,3.4575,110800
2002-01-30,13.98,13.99,13.2,13.3,3.325,156800
2002-01-31,13.3,13.38,12.65,13.05,3.2625,222600
2002-02-01,14.08,14.08,13.06,14.0,3.5,187500
2002-02-04,13.97,13.97,12.95,13.15,3.2875,97000
2002-02-05,13.08,14.11,12.68,13.4,3.35,213900
2002-02-06,13.4,13.85,13.25,13.25,3.3125,97200
2002-02-07,13.25,13.98,13.25,13.59,3.3975,100700
2002-02-08,13.6,13.6,13.25,13.44,3.36,52400
2002-02-11,13.55,13.55,12.89,13.16,3.29,62200
2002-02-12,13.14,13.2,12.75,12.95,3.2375,57300
2002-02-13,12.95,13.19,12.15,12.69,3.1725,58500
2002-02-14,12.52,13.04,12.2,13.04,3.26,96600
2002-02-15,12.78,13.18,12.51,12.77,3.1925,36100
2002-02-19,12.45,12.5,11.42,12.15,3.0375,132800
2002-02-20,12.29,12.29,12.05,12.2,3.05,79000
2002-02-21,12.21,12.8,12.2,12.8,3.2,48800
2002-02-22,12.8,13.2,12.45,13.2,3.3,54000
2002-02-25,13.15,13.3,12.9,13.25,3.3125,68100
2002-02-26,13.3,13.3,13.03,13.15,3.2875,25900
2002-02-27,13.29,13.3,13.1,13.16,3.29,42300
2002-02-28,13.16,13.3,12.67,12.78,3.195,43400
2002-03-01,12.75,12.97,12.4,12.65,3.1625,29900
2002-03-04,12.9,13.15,12.57,12.98,3.245,83600
2002-03-05,12.95,13.0,12.55,12.55,3.1375,20100
2002-03-06,12.55,13.1,12.55,13.1,3.275,85200
2002-03-07,13.1,13.1,12.75,12.75,3.1875,201500
2002-03-08,12.8,13.07,12.2,13.0,3.25,171300
2002-03-11,12.93,13.05,12.9,12.95,3.2375,66500
2002-03-12,12.95,13.3,12.82,13.1,3.275,119700
2002-03-13,13.1,13.1,12.83,13.0,3.25,81300
2002-03-14,13.05,13.05,12.75,12.8,3.2,94100
2002-03-15,13.0,13.25,12.8,13.02,3.255,208000
2002-03-18,13.07,14.43,13.0,14.43,3.6075,379400
2002-03-19,15.3,16.35,15.0,15.69,3.9225,1161400
2002-03-20,15.55,16.06,15.5,15.7,3.925,277600
2002-03-21,15.94,15.94,14.83,15.42,3.855,249600
2002-03-22,15.42,15.89,15.15,15.31,3.8275,101900
2002-03-25,15.69,15.69,14.73,15.0,3.75,335000
2002-03-26,15.15,15.3,14.8,14.99,3.7475,133700
2002-03-27,14.92,16.15,14.68,15.88,3.97,291100
2002-03-28,15.93,16.6,15.4,15.45,3.8625,237900
2002-04-01,15.88,15.88,14.24,15.73,3.9325,176200
2002-04-02,15.75,15.8,15.25,15.54,3.885,45400
2002-04-03,15.6,15.75,15.35,15.6,3.9,70900
2002-04-04,15.75,15.95,14.58,14.71,3.6775,219600
2002-04-05,14.91,15.05,13.3,13.53,3.3825,310600
2002-04-08,13.5,14.0,12.67,13.94,3.485,269700
2002-04-09,14.0,14.66,13.69,14.65,3.6625,160800
2002-04-10,14.81,15.6,14.68,15.57,3.8925,461400
2002-04-11,15.6,15.94,14.65,14.8,3.7,113300
2002-04-12,15.24,15.5,14.8,15.41,3.8525,95500
2002-04-15,15.23,15.6,15.23,15.6,3.9,101500
2002-04-16,15.59,15.86,15.31,15.72,3.93,167300
2002-04-17,15.89,16.45,15.28,16.41,4.1025,196900
2002-04-18,16.3,16.49,15.56,15.58,3.895,169200
2002-04-19,15.79,16.09,15.3,15.76,3.94,268700
2002-04-22,15.9,16.44,15.61,16.0,4.0,227700
2002-04-23,16.13,16.2,15.7,15.8,3.95,276000
2002-04-24,15.7,16.5,15.69,16.0,4.0,128500
2002-04-25,15.91,16.0,15.55,15.95,3.9875,66700
2002-04-26,15.95,16.0,15.55,15.84,3.96,148300
2002-04-29,15.85,16.55,15.65,16.44,4.11,207100
2002-04-30,16.4,16.49,15.9,16.23,4.0575,116800
2002-05-01,16.2,16.26,15.85,16.09,4.0225,159100
2002-05-02,16.14,17.85,16.1,17.39,4.3475,406200
2002-05-03,18.02,18.05,16.85,17.07,4.2675,412100
2002-05-06,17.01,17.12,15.78,16.18,4.045,288300
2002-05-07,16.55,16.9,16.0,16.13,4.0325,139000
2002-05-08,16.01,16.45,16.0,16.4,4.1,102600
2002-05-09,16.21,16.42,16.0,16.04,4.01,67500
2002-05-10,16.2,16.5,15.8,16.11,4.0275,91800
2002-05-13,16.49,16.5,15.9,16.0,4.0,74800
2002-05-14,16.2,16.5,16.2,16.39,4.0975,280600
2002-05-15,16.4,16.5,16.17,16.45,4.1125,122500
2002-05-16,16.3,17.15,16.26,16.62,4.155,218000
2002-05-17,16.88,17.16,16.7,17.0,4.25,204900
2002-05-20,17.0,17.0,16.07,16.7,4.175,72300
2002-05-21,16.7,17.28,16.35,16.6,4.15,68900
2002-05-22,16.4,16.85,16.31,16.72,4.18,102900
2002-05-23,16.85,16.85,16.15,16.31,4.0775,92000
2002-05-24,16.4,17.65,16.14,17.3,4.325,197700
2002-05-28,17.37,17.37,16.81,17.0,4.25,112200
2002-05-29,17.0,17.2,16.85,17.0,4.25,125500
2002-05-30,17.0,17.1,16.51,16.9,4.225,132700
2002-05-31,16.89,16.89,16.3,16.5,4.125,162400
2002-06-03,16.6,16.6,15.02,15.2,3.8,249400
2002-06-04,15.05,15.2,13.65,14.33,3.5825,307500
2002-06-05,14.3,14.71,13.7,14.64,3.66,176300
2002-06-06,14.06,14.6,14.06,14.45,3.6125,103100
2002-06-07,14.33,15.27,14.06,15.22,3.805,113000
2002-06-10,14.97,15.0,11.92,12.6,3.15,2094100
2002-06-11,13.2,13.7,13.15,13.52,3.38,739800
2002-06-12,13.5,13.55,12.96,13.24,3.31,465100
2002-06-13,13.26,13.38,12.5,12.6,3.15,225600
2002-06-14,12.49,13.42,12.27,13.38,3.345,213800
2002-06-17,13.37,13.99,13.27,13.62,3.405,99800
2002-06-18,13.77,13.92,13.53,13.53,3.3825,105000
2002-06-19,13.51,14.11,12.81,13.16,3.29,116800
2002-06-20,13.25,13.95,13.16,13.64,3.41,115500
2002-06-21,13.75,15.0,13.65,14.8,3.7,219900
2002-06-24,14.59,14.95,13.17,13.5,3.375,384100
2002-06-25,13.54,14.79,13.54,14.18,3.545,437900
2002-06-26,14.26,14.33,12.82,14.03,3.5075,447200
2002-06-27,14.19,14.74,13.94,14.48,3.62,486500
2002-06-28,14.3,15.5,13.55,14.47,3.6175,1816000
2002-07-01,14.15,14.24,13.39,13.4,3.35,311300
2002-07-02,13.7,13.7,12.8,12.83,3.2075,202200
2002-07-03,13.01,13.01,11.34,12.0,3.0,430700
2002-07-05,12.05,12.4,11.97,12.05,3.0125,81400
2002-07-08,11.96,12.0,10.83,11.63,2.9075,301600
2002-07-09,11.7,11.73,10.31,10.51,2.6275,248500
2002-07-10,10.5,10.72,10.13,10.47,2.6175,349600
2002-07-11,10.76,12.95,10.06,12.52,3.13,674200
2002-07-12,12.72,13.09,12.01,12.68,3.17,273000
