Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,11.85,11.85,10.95,11.25,5.625,94400
2002-01-03,11.4,11.4,11.03,11.3,5.65,57800
2002-01-04,11.2,11.94,11.15,11.94,5.97,58100
2002-01-07,11.97,12.47,11.55,12.06,6.03,95300
2002-01-08,12.34,12.38,12.0,12.15,6.075,27400
2002-01-09,12.19,12.65,12.1,12.34,6.17,52200
2002-01-10,12.25,12.25,11.37,11.37,5.685,45800
2002-01-11,11.31,11.59,11.31,11.41,5.705,20800
2002-01-14,11.2,11.28,10.78,10.81,5.405,144100
2002-01-15,10.91,11.05,10.77,10.85,5.425,31500
2002-01-16,10.27,10.8,10.27,10.63,5.315,52800
2002-01-17,10.77,10.77,10.47,10.65,5.325,21300
2002-01-18,10.85,10.85,10.2,10.22,5.11,62600
2002-01-22,10.25,10.25,9.95,9.99,4.995,36700
2002-01-23,10.12,10.12,9.87,10.0,5.0,51900
2002-01-24,10.05,10.05,9.55,9.56,4.78,35700
2002-01-25,9.55,9.55,9.2,9.24,4.62,27000
2002-01-28,9.18,9.395,9.18,9.18,4.59,9800
2002-01-29,9.1,9.25,8.2,8.55,4.275,54900
2002-01-30,8.465,8.7,8.25,8.5,4.25,24300
2002-01-31,8.63,8.75,8.25,8.45,4.225,51400
2002-02-01,8.66,8.66,8.25,8.3,4.15,44200
2002-02-04,8.2,8.4,7.81,7.96,3.98,26100
2002-02-05,7.8,8.26,7.8,8.02,4.01,116000
2002-02-06,7.675,7.9,7.65,7.8,3.9,69700
2002-02-07,7.65,7.8,7.06,7.1,3.55,86500
2002-02-08,7.065,7.7,7.0,7.45,3.725,104200
2002-02-11,7.39,7.39,6.75,6.75,3.375,396600
2002-02-12,6.79,6.95,6.5,6.5,3.25,147600
2002-02-13,6.775,7.48,6.775,7.27,3.635,61500
2002-02-14,7.44,7.44,7.0,7.0,3.5,31800
2002-02-15,6.92,7.35,6.8,7.23,3.615,69700
2002-02-19,7.18,8.45,7.0,7.11,3.555,101700
2002-02-20,7.89,7.89,7.1,7.35,3.675,143400
2002-02-21,7.4,7.4,6.51,6.86,3.43,126200
2002-02-22,6.86,7.08,6.75,7.0,3.5,17200
2002-02-25,7.01,7.01,6.81,6.81,3.405,24000
2002-02-26,6.83,7.07,6.75,6.92,3.46,30000
2002-02-27,7.08,7.08,6.91,6.97,3.485,61800
2002-02-28,6.76,7.05,6.76,6.86,3.43,50500
2002-03-01,6.92,7.11,6.86,7.0,3.5,110100
2002-03-04,7.06,7.15,7.0,7.03,3.515,46300
2002-03-05,7.03,7.63,7.0,7.51,3.755,124000
2002-03-06,7.65,7.79,7.5,7.5,3.75,156000
2002-03-07,7.82,7.82,7.06,7.06,3.53,31100
2002-03-08,7.225,7.7,7.225,7.69,3.845,92000
2002-03-11,7.78,9.3,7.56,8.96,4.48,79600
2002-03-12,8.95,8.95,8.65,8.75,4.375,79500
2002-03-13,8.681,8.857,8.65,8.799,4.3995,78100
2002-03-14,9.5,9.5,8.7,9.37,4.685,172500
