Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.8,9.9,8.88,9.75,6.4999935,142000
2002-01-03,9.5,9.5,9.2,9.2,6.1333272,109200
2002-01-04,9.18,9.3,9.0,9.05,6.0333273,192000
2002-01-07,9.04,9.2,8.87,8.87,5.91332742,148000
2002-01-08,9.04,9.09,8.85,9.0,5.999994,129600
2002-01-09,9.05,9.05,8.75,9.0,5.999994,100400
2002-01-10,8.97,9.1,8.75,8.98,5.98666068,86400
2002-01-11,8.75,8.85,8.75,8.8,5.8666608,90800
2002-01-14,8.9,9.25,8.8,9.16,6.10666056,268200
2002-01-15,9.25,9.35,8.8,8.97,5.97999402,80800
2002-01-16,8.92,8.94,8.8,8.8,5.8666608,88800
2002-01-17,8.75,8.86,8.6,8.7,5.7999942,51400
2002-01-18,8.7,8.95,8.12,8.39,5.59332774,111000
2002-01-22,8.47,9.0,8.45,8.74,5.82666084,129400
2002-01-23,8.95,8.95,8.68,8.9,5.9333274,47000
2002-01-24,8.9,8.94,8.62,8.74,5.82666084,16400
2002-01-25,8.78,8.8,8.25,8.8,5.8666608,70600
2002-01-28,8.8,8.81,8.68,8.8,5.8666608,22000
2002-01-29,8.74,8.9,8.7,8.74,5.82666084,40200
2002-01-30,8.73,8.73,8.4,8.52,5.67999432,38600
2002-01-31,8.59,9.32,8.59,9.25,6.1666605,219000
2002-02-01,10.27,10.27,9.6,10.15,6.7666599,547400
2002-02-04,10.0,10.49,9.4,10.02,6.67999332,295200
2002-02-05,10.0,10.25,9.9,10.01,6.67332666,100200
2002-02-06,10.05,10.05,9.85,9.9,6.5999934,91200
2002-02-07,9.885,9.95,9.2,9.58,6.38666028,83600
2002-02-08,9.52,9.53,8.74,9.05,6.0333273,240600
2002-02-11,9.185,9.2,8.26,8.6,5.7333276,298400
2002-02-12,8.52,9.55,8.51,9.2,6.1333272,336200
2002-02-13,9.4,10.2,9.26,9.85,6.5666601,400400
2002-02-14,9.85,9.85,9.55,9.6,6.3999936,232400
2002-02-15,9.7,9.7,8.9,8.94,5.95999404,126200
2002-02-19,9.0,9.1,8.9,9.0,5.999994,97000
2002-02-20,9.05,9.05,8.81,8.96,5.97332736,115600
2002-02-21,8.98,9.0,8.58,8.63,5.75332758,73200
2002-02-22,8.77,9.3,8.7,9.3,6.1999938,115400
2002-02-25,9.3,9.3,8.88,9.16,6.10666056,178400
2002-02-26,8.965,9.379,8.965,9.35,6.2333271,165800
2002-02-27,9.37,9.43,9.1,9.12,6.07999392,104400
2002-02-28,9.19,9.56,9.07,9.2,6.1333272,174800
2002-03-01,9.35,9.35,9.0,9.1,6.0666606,157800
2002-03-04,9.185,9.23,9.0,9.16,6.10666056,179600
2002-03-05,9.2,9.5,9.1,9.5,6.333327,80600
2002-03-06,9.28,9.38,9.155,9.3,6.1999938,54800
2002-03-07,9.285,9.3,9.01,9.2,6.1333272,107600
2002-03-08,9.1,9.25,9.1,9.14,6.09332724,68200
