Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,23.19,23.3,22.21,22.53,4.68495886467,322800
2002-01-03,24.53,24.53,22.6,24.53,5.10084513761,588000
2002-01-04,24.59,27.0,24.59,26.89,5.59159093968,1227200
2002-01-07,26.89,27.07,25.75,25.88,5.38156837184,671000
2002-01-08,25.71,26.34,25.35,25.97,5.40028325412,316900
2002-01-09,25.76,26.4,25.75,25.9,5.38572723457,299500
2002-01-10,25.99,26.25,24.95,25.3,5.26096135269,314300
2002-01-11,25.16,25.69,24.73,25.6,5.32334429363,274400
2002-01-14,25.66,25.66,24.45,25.27,5.2547230586,285800
2002-01-15,25.35,25.45,24.57,25.13,5.22561101949,423400
2002-01-16,25.14,25.14,24.0,24.25,5.0426210594,222400
2002-01-17,24.44,24.92,24.2,24.8,5.15698978445,235100
2002-01-18,24.75,24.75,23.98,24.04,4.99895300074,248700
2002-01-22,24.1,24.56,23.79,24.09,5.00935015756,152200
2002-01-23,28.21,28.21,24.1,28.09,5.84112270344,1981100
2002-01-24,28.0,29.15,27.37,27.46,5.71011852746,956000
2002-01-25,27.35,28.1,27.13,28.1,5.84320213481,153800
2002-01-28,28.09,29.13,28.06,28.99,6.02827152626,377300
2002-01-29,28.81,29.39,28.3,28.66,5.95965029123,293000
2002-01-30,28.85,29.05,27.8,27.86,5.79329578205,987500
2002-01-31,27.66,28.05,27.31,27.79,5.7787397625,777800
2002-02-01,27.68,27.68,25.99,26.73,5.55832003784,665900
2002-02-04,26.5,26.72,25.25,25.71,5.34621803864,459900
2002-02-05,24.95,25.14,24.44,24.9,5.1777840981,1879100
2002-02-06,24.93,24.93,22.22,22.85,4.75150066834,1267700
2002-02-07,23.0,23.08,22.3,22.35,4.6475291001,343800
2002-02-08,22.66,22.91,22.07,22.65,4.70991204104,603200
2002-02-11,22.69,24.51,22.36,24.1,5.01142958893,674700
2002-02-12,24.2,24.2,23.27,23.96,4.98231754982,182900
2002-02-13,24.2,24.26,23.56,24.0,4.99063527528,259600
2002-02-14,24.19,24.2,22.96,23.2,4.8242807661,295100
2002-02-15,23.2,23.69,22.74,23.27,4.83883678566,189800
2002-02-19,23.15,23.21,22.57,22.61,4.70159431559,190900
2002-02-20,22.95,22.95,22.36,22.66,4.71199147241,438100
2002-02-21,22.67,24.47,22.67,22.95,4.77229498199,438800
2002-02-22,23.2,24.22,23.2,24.22,5.0363827653,448800
2002-02-25,24.24,24.94,24.2,24.79,5.15491035309,404300
2002-02-26,24.79,25.34,24.6,25.17,5.23392874495,323500
2002-02-27,25.19,25.42,24.73,25.18,5.23600817631,352400
2002-02-28,25.19,25.24,23.4,23.47,4.88042541295,354100
2002-03-01,23.7,24.41,23.46,24.2,5.03222390257,217800
2002-03-04,24.4,27.07,24.39,27.06,5.62694127288,613900
2002-03-05,26.8,27.54,26.2,26.47,5.50425482236,447200
2002-03-06,26.67,27.36,26.3,26.71,5.55416117511,223600
2002-03-07,26.8,27.85,26.75,27.5,5.71843625292,414800
2002-03-08,27.7,28.59,27.5,27.65,5.74962772339,400400
2002-03-11,27.62,28.02,27.28,27.53,5.72467454702,126900
2002-03-12,27.27,27.96,27.07,27.48,5.71427739019,115000
2002-03-13,27.7,27.7,27.06,27.26,5.66852990017,119500
2002-03-14,28.11,28.11,27.23,28.11,5.84528156617,168100
2002-03-15,28.27,28.4,27.67,28.24,5.87231417391,362900
2002-03-18,28.15,28.5,28.08,28.35,5.89518791892,288800
2002-03-19,28.4,28.45,26.65,27.5,5.71843625292,655500
2002-03-20,27.3,27.6,26.65,27.45,5.7080390961,399500
2002-03-21,27.6,27.6,25.8,27.0,5.61446468469,822500
