Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,19.06,19.35,18.88,19.02,19.0395330587,70100
2002-01-03,20.11,20.11,19.6,19.96,19.9804984149,194600
2002-01-04,20.85,21.25,20.45,20.51,20.531063251,278800
2002-01-07,21.13,21.36,20.56,20.81,20.8313713434,180900
2002-01-08,20.6,20.8,20.25,20.31,20.3308578561,82800
2002-01-09,20.18,20.4,19.7,19.88,19.900416257,111900
2002-01-10,20.26,20.5,20.05,20.5,20.5210529813,99700
2002-01-11,21.27,21.34,20.44,20.63,20.651186488,241300
2002-01-14,20.0,20.11,19.56,19.79,19.8103238292,105800
2002-01-15,19.13,19.18,18.87,19.0,19.0195125192,150300
2002-01-16,18.7,18.92,18.34,18.79,18.8092968546,60800
2002-01-17,19.44,19.72,19.22,19.4,19.4199233091,245200
2002-01-18,19.58,19.8,18.9,18.93,18.949440631,219000
2002-01-22,19.52,19.57,18.99,18.99,19.0095022495,85500
2002-01-23,19.0,19.0,18.71,18.99,19.0095022495,171400
2002-01-24,19.8,19.85,18.55,18.7,18.7192044268,398800
2002-01-25,18.91,19.2,18.67,18.74,18.7592455058,173900
2002-01-28,19.0,19.19,18.88,19.05,19.069563868,134100
2002-01-29,19.49,19.5,18.77,18.8,18.8193071243,149400
2002-01-30,19.03,19.1,18.8,18.99,19.0095022495,122200
2002-01-31,19.6,19.6,19.0,19.01,19.029522789,232900
2002-02-01,19.7,19.7,19.3,19.49,19.5100157368,90000
2002-02-04,19.5,19.8,18.91,18.97,18.98948171,107200
2002-02-05,19.18,19.36,18.98,19.09,19.109604947,88900
2002-02-06,19.31,19.31,17.62,18.17,18.1886601302,331500
2002-02-07,18.18,18.4,17.81,18.13,18.1486190513,74100
2002-02-08,18.31,18.99,18.31,18.95,18.9694611705,49000
2002-02-11,19.09,20.0,19.09,19.78,19.8003135595,216700
2002-02-12,18.6,19.15,18.37,18.79,18.8092968546,422900
2002-02-13,18.24,18.8,17.8,18.45,18.4689476832,267600
2002-02-14,18.15,18.5,17.86,17.86,17.8783417681,166600
2002-02-15,17.85,17.85,16.9,17.17,17.1876331555,152300
2002-02-19,14.91,15.73,14.84,15.34,15.3557537918,324900
2002-02-20,17.0,17.0,15.75,16.3,16.3167396876,554200
2002-02-21,16.51,17.16,16.51,17.02,17.0374791093,369500
2002-02-22,16.7,16.88,16.16,16.62,16.6370683195,94600
2002-02-25,16.51,16.59,15.89,16.05,16.0664829439,202900
2002-02-26,16.27,16.47,15.77,16.43,16.4468731943,145300
2002-02-27,16.15,16.2,15.47,16.01,16.0264418649,303300
2002-02-28,15.85,15.9,15.17,15.3,15.3157127129,333900
2002-03-01,14.71,14.71,13.86,14.0,14.0143776458,1587400
2002-03-04,15.19,15.4,14.4,14.65,14.6650451793,726700
2002-03-05,15.01,15.22,14.79,15.03,15.0454354297,215400
2002-03-06,15.18,15.61,15.01,15.6,15.6160208053,598000
2002-03-07,16.4,16.6,16.06,16.11,16.1265445624,532500
2002-03-08,16.49,16.8,16.33,16.53,16.5469758917,311500
2002-03-11,17.01,17.06,16.64,16.77,16.7872223657,432500
2002-03-12,16.32,16.62,15.5,15.8,15.8162262002,306300
2002-03-13,16.42,16.5,15.89,16.13,16.1465651019,373200
2002-03-14,16.6,16.6,16.3,16.56,16.577006701,235800
2002-03-15,16.65,16.9,16.27,16.57,16.5870169707,418400
2002-03-18,17.05,17.2,16.71,16.94,16.9573969514,355600
2002-03-19,17.09,17.09,16.6,16.6,16.61704778,135600
2002-03-20,16.71,16.73,15.76,16.08,16.0965137531,227900
2002-03-21,16.25,16.25,15.75,16.04,16.0564726741,271300
2002-03-22,16.04,16.05,15.62,15.78,15.7962056607,159500
2002-03-25,15.71,15.78,14.91,15.0,15.0154046205,184100
2002-03-26,14.94,15.24,14.8,15.08,15.0954867784,92500
2002-03-27,14.9,15.05,14.84,14.92,14.9353224625,93300
2002-03-28,15.51,16.05,14.65,14.89,14.9052916532,353800
2002-04-01,15.39,15.39,14.6,15.18,15.1955894759,232100
2002-04-02,15.38,15.38,14.76,15.0,15.0154046205,194000
2002-04-03,14.92,14.92,14.45,14.61,14.6250041003,142100
2002-04-04,14.26,14.5,13.99,14.22,14.2346035802,229600
2002-04-05,14.99,15.0,14.5,14.52,14.5349116726,73600
2002-04-08,14.65,14.65,14.13,14.42,14.4348089751,125000
2002-04-09,14.65,14.77,14.32,14.4,14.4147884356,53100
2002-04-10,14.36,14.67,14.32,14.65,14.6650451793,206100
2002-04-11,14.42,14.47,13.61,13.7,13.7140695533,264200
2002-04-12,13.39,13.39,13.02,13.19,13.2035457962,243400
2002-04-15,13.2,13.87,12.96,13.68,13.6940490139,205400
2002-04-16,14.0,14.42,13.99,14.37,14.3847576264,55000
2002-04-17,14.62,15.07,14.31,14.54,14.5549322121,195500
2002-04-18,14.75,14.75,14.13,14.63,14.6450246398,27300
2002-04-19,14.3,14.49,13.86,14.04,14.0544187247,49000
2002-04-22,13.5,13.93,13.4,13.6,13.6139668559,65700
2002-04-23,13.78,13.84,13.55,13.75,13.7641209021,169500
2002-04-24,13.78,13.86,13.61,13.66,13.6740284744,114500
2002-04-25,13.65,13.65,12.79,12.96,12.9733095921,885300
2002-04-26,12.55,12.83,12.02,12.73,12.7430733879,620900
2002-04-29,12.8,12.88,12.5,12.59,12.6029296114,139600
2002-04-30,12.85,13.11,12.73,13.1,13.1134533685,184500
2002-05-01,12.82,13.0,12.59,12.8,12.8131452761,72500
2002-05-02,13.58,13.8,13.45,13.55,13.5639155071,172000
2002-05-03,13.8,13.85,13.51,13.73,13.7441003626,149900
2002-05-06,13.84,13.84,13.23,13.24,13.253597145,86500
2002-05-07,14.05,14.1,13.25,13.27,13.2836279542,637300
2002-05-08,14.4,14.66,14.25,14.54,14.5549322121,408100
