Date,Open,High,Low,Close,Adj Close,Volume,Market Cap
2019-09-01,1.77880000,1.80000000,1.71700000,1.76860000,1.76860000,1332701.68000000,1332701.68000000
2019-09-02,1.76960000,1.89000000,1.72720000,1.82870000,1.82870000,3044387.69000000,3044387.69000000
2019-09-03,1.83070000,1.94240000,1.81470000,1.84900000,1.84900000,3208754.39000000,3208754.39000000
2019-09-04,1.84860000,1.87000000,1.71670000,1.77840000,1.77840000,3579394.12000000,3579394.12000000
2019-09-05,1.77930000,1.86240000,1.76800000,1.79210000,1.79210000,2744215.93000000,2744215.93000000
2019-09-06,1.79190000,1.86000000,1.67670000,1.72260000,1.72260000,3184048.39000000,3184048.39000000
2019-09-07,1.72220000,1.80600000,1.70850000,1.76720000,1.76720000,2404181.98000000,2404181.98000000
2019-09-08,1.76720000,1.90540000,1.76100000,1.82750000,1.82750000,3504716.50000000,3504716.50000000
2019-09-09,1.82900000,1.87310000,1.76100000,1.78720000,1.78720000,3483191.16000000,3483191.16000000
2019-09-10,1.78830000,1.83260000,1.77300000,1.79980000,1.79980000,2713368.74000000,2713368.74000000
2019-09-11,1.79880000,1.82580000,1.71360000,1.73010000,1.73010000,2229727.06000000,2229727.06000000
2019-09-12,1.73010000,1.74580000,1.69180000,1.70730000,1.70730000,2229068.92000000,2229068.92000000
2019-09-13,1.70730000,1.70990000,1.51000000,1.57590000,1.57590000,6639098.35000000,6639098.35000000
2019-09-14,1.57610000,1.63750000,1.52390000,1.56340000,1.56340000,5719166.79000000,5719166.79000000
2019-09-15,1.56340000,1.64580000,1.56000000,1.61040000,1.61040000,4049102.77000000,4049102.77000000
2019-09-16,1.61100000,1.63550000,1.54500000,1.58060000,1.58060000,3549602.58000000,3549602.58000000
2019-09-17,1.58060000,1.67650000,1.55320000,1.62400000,1.62400000,5393985.89000000,5393985.89000000
2019-09-18,1.62400000,1.84620000,1.62400000,1.80100000,1.80100000,8269809.73000000,8269809.73000000
2019-09-19,1.79940000,1.90750000,1.70790000,1.87440000,1.87440000,8590087.52000000,8590087.52000000
2019-09-20,1.87430000,1.87720000,1.75100000,1.82450000,1.82450000,3503491.24000000,3503491.24000000
2019-09-21,1.82150000,1.88880000,1.78810000,1.88550000,1.88550000,2773787.16000000,2773787.16000000
2019-09-22,1.88480000,1.88680000,1.77110000,1.81570000,1.81570000,2311848.65000000,2311848.65000000
2019-09-23,1.81490000,1.88000000,1.77990000,1.80480000,1.80480000,2670201.16000000,2670201.16000000
2019-09-24,1.80340000,2.06570000,1.46120000,1.71600000,1.71600000,16495451.14000000,16495451.14000000
2019-09-25,1.71350000,1.92860000,1.62490000,1.74430000,1.74430000,8910418.88000000,8910418.88000000
2019-09-26,1.74760000,1.75840000,1.52760000,1.65120000,1.65120000,6950205.76000000,6950205.76000000
2019-09-27,1.65120000,1.67860000,1.55730000,1.65900000,1.65900000,4337039.06000000,4337039.06000000
2019-09-28,1.65930000,1.70170000,1.62840000,1.67420000,1.67420000,2378769.19000000,2378769.19000000
2019-09-29,1.67480000,1.74920000,1.64410000,1.70020000,1.70020000,3307432.07000000,3307432.07000000
2019-09-30,1.70040000,1.76900000,1.64040000,1.76770000,1.76770000,3573550.83000000,3573550.83000000
2019-10-01,1.76770000,1.88200000,1.75220000,1.82860000,1.82860000,4084117.04000000,4084117.04000000
2019-10-02,1.82850000,2.02330000,1.81210000,2.01100000,2.01100000,5790547.34000000,5790547.34000000
2019-10-03,2.01340000,2.03380000,1.88000000,1.94420000,1.94420000,7013380.23000000,7013380.23000000
2019-10-04,1.94430000,1.99490000,1.88800000,1.96630000,1.96630000,3422137.61000000,3422137.61000000
2019-10-05,1.96630000,1.97750000,1.91130000,1.96240000,1.96240000,2233660.20000000,2233660.20000000
2019-10-06,1.96240000,2.26590000,1.95310000,2.16690000,2.16690000,9778198.66000000,9778198.66000000
2019-10-07,2.16690000,2.48990000,2.09710000,2.39630000,2.39630000,12795782.67000000,12795782.67000000
2019-10-08,2.39630000,2.65000000,2.26800000,2.57650000,2.57650000,16096459.09000000,16096459.09000000
2019-10-09,2.57700000,2.95000000,2.50100000,2.80110000,2.80110000,21792384.08000000,21792384.08000000
2019-10-10,2.79770000,2.80580000,2.46500000,2.62790000,2.62790000,15341951.10000000,15341951.10000000
2019-10-11,2.62930000,2.79360000,2.56190000,2.74810000,2.74810000,11417701.51000000,11417701.51000000
2019-10-12,2.74430000,2.75720000,2.55190000,2.59750000,2.59750000,6182391.51000000,6182391.51000000
2019-10-13,2.59750000,2.64430000,2.43510000,2.48600000,2.48600000,5534063.18000000,5534063.18000000
2019-10-14,2.48500000,2.67410000,2.45270000,2.53240000,2.53240000,5833573.38000000,5833573.38000000
2019-10-15,2.53150000,2.59700000,2.33200000,2.39740000,2.39740000,6236112.72000000,6236112.72000000
2019-10-16,2.39490000,2.41430000,2.18200000,2.37170000,2.37170000,11864805.05000000,11864805.05000000
2019-10-17,2.37360000,2.49000000,2.27400000,2.41240000,2.41240000,10565628.71000000,10565628.71000000
2019-10-18,2.41900000,2.49990000,2.31640000,2.35460000,2.35460000,7264838.28000000,7264838.28000000
2019-10-19,2.35210000,2.39100000,2.29140000,2.35210000,2.35210000,4513732.32000000,4513732.32000000
2019-10-20,2.35130000,2.45100000,2.27800000,2.44440000,2.44440000,4491335.27000000,4491335.27000000
2019-10-21,2.44430000,2.69000000,2.43470000,2.62230000,2.62230000,11337672.86000000,11337672.86000000
2019-10-22,2.62160000,2.81780000,2.56190000,2.60740000,2.60740000,11209530.78000000,11209530.78000000
2019-10-23,2.60730000,2.68400000,2.37170000,2.60550000,2.60550000,14101549.77000000,14101549.77000000
2019-10-24,2.60710000,2.77480000,2.60200000,2.72000000,2.72000000,9751557.57000000,9751557.57000000
2019-10-25,2.72010000,3.00630000,2.61650000,2.83740000,2.83740000,14004511.97000000,14004511.97000000
2019-10-26,2.83740000,2.99770000,2.66400000,2.73480000,2.73480000,13344088.09000000,13344088.09000000
2019-10-27,2.73230000,2.76200000,2.65110000,2.66460000,2.66460000,5974202.16000000,5974202.16000000
2019-10-28,2.67070000,2.88590000,2.66000000,2.66110000,2.66110000,7839146.77000000,7839146.77000000
2019-10-29,2.66010000,2.76900000,2.63210000,2.66200000,2.66200000,3559236.65000000,3559236.65000000
2019-10-30,2.66100000,2.67680000,2.51070000,2.60930000,2.60930000,3975481.96000000,3975481.96000000
2019-10-31,2.60440000,2.75730000,2.53650000,2.72190000,2.72190000,4136829.05000000,4136829.05000000
2019-11-01,2.72330000,2.79520000,2.64280000,2.70910000,2.70910000,3786813.42000000,3786813.42000000
2019-11-02,2.70920000,2.73990000,2.68280000,2.69730000,2.69730000,1945703.47000000,1945703.47000000
2019-11-03,2.70150000,2.71040000,2.62020000,2.66050000,2.66050000,1676754.85000000,1676754.85000000
2019-11-04,2.65940000,2.73000000,2.62670000,2.67460000,2.67460000,2315985.74000000,2315985.74000000
2019-11-05,2.67460000,2.69470000,2.63220000,2.67460000,2.67460000,1985221.73000000,1985221.73000000
2019-11-06,2.67430000,2.82000000,2.64790000,2.74480000,2.74480000,3174248.63000000,3174248.63000000
2019-11-07,2.74460000,2.75490000,2.60220000,2.67570000,2.67570000,3498869.77000000,3498869.77000000
2019-11-08,2.67580000,2.73330000,2.62100000,2.71000000,2.71000000,2932879.67000000,2932879.67000000
2019-11-09,2.70910000,2.84970000,2.70310000,2.80090000,2.80090000,4656993.44000000,4656993.44000000
2019-11-10,2.80080000,2.83700000,2.73620000,2.77700000,2.77700000,2619550.08000000,2619550.08000000
2019-11-11,2.77730000,2.77770000,2.66550000,2.74400000,2.74400000,2141763.75000000,2141763.75000000
2019-11-12,2.74380000,2.87330000,2.73110000,2.81520000,2.81520000,3219733.00000000,3219733.00000000
2019-11-13,2.81770000,3.08940000,2.78510000,3.02000000,3.02000000,6541016.76000000,6541016.76000000
2019-11-14,3.01890000,3.16000000,2.96660000,3.03900000,3.03900000,6594266.26000000,6594266.26000000
2019-11-15,3.03700000,3.07000000,2.79700000,3.03890000,3.03890000,5650698.64000000,5650698.64000000
