Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.550000,4.850000,4.520000,4.850000,4.850000,855500
2018-01-03,4.850000,5.080000,4.850000,4.980000,4.980000,1093900
2018-01-04,5.020000,5.350000,4.950000,5.250000,5.250000,1454400
2018-01-05,5.240000,5.280000,4.955000,5.210000,5.210000,1068300
2018-01-08,5.240000,5.240000,5.010000,5.020000,5.020000,512900
2018-01-09,5.060000,5.170000,5.000000,5.130000,5.130000,472300
2018-01-10,5.100000,5.190000,5.070000,5.190000,5.190000,368400
2018-01-11,5.220000,5.370000,5.125000,5.260000,5.260000,624900
2018-01-12,5.260000,5.500000,5.240000,5.350000,5.350000,1043600
2018-01-16,5.440000,5.600000,5.290000,5.370000,5.370000,1651100
2018-01-17,5.400000,5.790000,5.230000,5.660000,5.660000,3681400
2018-01-18,5.590000,5.650000,5.410000,5.490000,5.490000,1075400
2018-01-19,5.690000,5.770000,5.450000,5.570000,5.570000,1138600
2018-01-22,5.710000,5.800000,5.610000,5.800000,5.800000,1249000
2018-01-23,5.820000,6.000000,5.790000,5.990000,5.990000,1015700
2018-01-24,6.100000,6.105000,5.810000,5.960000,5.960000,1211100
2018-01-25,5.990000,6.049000,5.670000,5.690000,5.690000,1099100
2018-01-26,5.770000,5.880000,5.620000,5.620000,5.620000,749800
2018-01-29,5.500000,5.640000,5.400000,5.420000,5.420000,1099000
2018-01-30,5.430000,5.540000,5.300000,5.510000,5.510000,614000
2018-01-31,5.550000,5.572000,5.260000,5.300000,5.300000,580100
2018-02-01,5.290000,5.290000,5.130000,5.175000,5.175000,982200
2018-02-02,5.240000,5.240000,5.020000,5.040000,5.040000,878500
2018-02-05,5.020000,5.140000,4.850000,4.850000,4.850000,712500
2018-02-06,4.780000,5.200000,4.760000,5.160000,5.160000,872500
2018-02-07,5.120000,5.270000,5.050000,5.170000,5.170000,595300
2018-02-08,5.400000,5.450000,5.060000,5.060000,5.060000,833200
2018-02-09,5.100000,5.185000,4.800000,5.100000,5.100000,824800
2018-02-12,5.120000,5.340000,5.030000,5.210000,5.210000,627900
2018-02-13,5.200000,5.330000,5.140000,5.250000,5.250000,414100
2018-02-14,5.230000,5.420000,5.190000,5.320000,5.320000,538700
2018-02-15,5.390000,5.390000,5.210000,5.290000,5.290000,358400
2018-02-16,5.280000,5.330000,5.200000,5.220000,5.220000,294800
2018-02-20,5.210000,5.440000,5.200000,5.430000,5.430000,496000
2018-02-21,5.480000,5.770000,5.430000,5.460000,5.460000,1112700
2018-02-22,5.460000,5.630000,5.380000,5.460000,5.460000,497700
2018-02-23,5.500000,5.670000,5.480000,5.600000,5.600000,753300
2018-02-26,5.660000,5.663000,5.470000,5.530000,5.530000,556800
2018-02-27,5.550000,5.610000,5.280000,5.340000,5.340000,714900
2018-02-28,5.370000,5.458000,5.200000,5.210000,5.210000,405100
2018-03-01,5.250000,5.290000,5.060000,5.090000,5.090000,589700
2018-03-02,5.060000,5.300000,5.060000,5.280000,5.280000,540200
2018-03-05,5.300000,5.400000,5.250000,5.320000,5.320000,494600
2018-03-06,5.350000,5.390000,5.190000,5.300000,5.300000,314700
2018-03-07,5.230000,5.350000,5.184000,5.340000,5.340000,368200
2018-03-08,5.350000,5.400000,5.230000,5.400000,5.400000,419700
2018-03-09,5.410000,5.540000,5.330000,5.540000,5.540000,432200
2018-03-12,5.600000,5.649000,5.377000,5.540000,5.540000,785400
2018-03-13,5.550000,5.565000,5.310000,5.350000,5.350000,335400
2018-03-14,5.350000,5.430000,5.250000,5.360000,5.360000,373100
2018-03-15,5.390000,5.440000,5.320000,5.360000,5.360000,299200
2018-03-16,5.680000,5.990000,5.501000,5.710000,5.710000,4509700
2018-03-19,5.700000,5.860000,5.570000,5.760000,5.760000,1130000
2018-03-20,5.740000,5.810000,5.400000,5.405000,5.405000,1123100
2018-03-21,5.480000,5.610000,5.431000,5.520000,5.520000,491600
2018-03-22,5.500000,5.610000,5.400000,5.420000,5.420000,406200
2018-03-23,5.430000,5.520000,5.250000,5.250000,5.250000,436500
2018-03-26,5.350000,5.380000,5.200000,5.380000,5.380000,582600
2018-03-27,5.400000,5.460000,5.130000,5.170000,5.170000,463900
2018-03-28,5.170000,5.288000,5.050000,5.190000,5.190000,434800
