Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.700000,5.310000,4.700000,5.300000,5.300000,1723600
2018-01-03,5.370000,5.440000,5.020000,5.300000,5.300000,1461000
2018-01-04,5.370000,5.400000,5.280000,5.350000,5.350000,1034100
2018-01-05,5.350000,5.350000,5.130000,5.280000,5.280000,917600
2018-01-08,5.260000,5.420000,5.200000,5.390000,5.390000,674100
2018-01-09,5.420000,5.630000,5.360000,5.610000,5.610000,1141800
2018-01-10,5.650000,5.700000,5.400000,5.510000,5.510000,1038400
2018-01-11,5.560000,6.080000,5.510000,5.880000,5.880000,1391700
2018-01-12,5.870000,5.960000,5.620000,5.930000,5.930000,1453900
2018-01-16,6.050000,6.170000,5.770000,5.850000,5.850000,1529900
2018-01-17,6.020000,6.230000,5.950000,6.060000,6.060000,1272400
2018-01-18,6.020000,6.020000,5.590000,5.610000,5.610000,1227100
2018-01-19,5.630000,5.780000,5.580000,5.640000,5.640000,676900
2018-01-22,5.660000,5.760000,5.590000,5.710000,5.710000,709100
2018-01-23,5.730000,5.960000,5.630000,5.940000,5.940000,930400
2018-01-24,6.000000,6.000000,5.800000,5.920000,5.920000,718300
2018-01-25,5.960000,6.490000,5.920000,6.250000,6.250000,1711700
2018-01-26,6.260000,6.500000,6.190000,6.340000,6.340000,1285800
2018-01-29,6.290000,6.290000,5.650000,5.660000,5.660000,1231000
2018-01-30,5.560000,5.690000,5.290000,5.610000,5.610000,1085000
2018-01-31,5.650000,5.650000,5.440000,5.500000,5.500000,894400
2018-02-01,5.500000,5.700000,5.390000,5.520000,5.520000,1171100
2018-02-02,5.420000,5.560000,5.220000,5.420000,5.420000,925500
2018-02-05,5.350000,5.560000,5.200000,5.200000,5.200000,1274700
2018-02-06,5.090000,5.540000,5.050000,5.460000,5.460000,1456600
2018-02-07,5.460000,5.470000,5.030000,5.060000,5.060000,1190900
2018-02-08,5.100000,5.170000,4.700000,4.860000,4.860000,1363000
2018-02-09,4.910000,4.920000,4.730000,4.830000,4.830000,1663200
2018-02-12,4.900000,5.070000,4.850000,4.990000,4.990000,750800
2018-02-13,4.930000,5.020000,4.920000,5.000000,5.000000,404200
2018-02-14,4.910000,5.500000,4.910000,5.420000,5.420000,1552300
2018-02-15,5.450000,5.580000,5.380000,5.580000,5.580000,855300
2018-02-16,5.540000,5.730000,5.510000,5.530000,5.530000,916800
2018-02-20,5.520000,5.820000,5.500000,5.590000,5.590000,1155700
2018-02-21,5.650000,5.840000,5.210000,5.740000,5.740000,1570500
2018-02-22,5.870000,6.240000,5.790000,6.060000,6.060000,1733800
2018-02-23,6.130000,6.310000,6.000000,6.140000,6.140000,1149000
2018-02-26,6.150000,6.350000,6.060000,6.320000,6.320000,846700
2018-02-27,6.460000,6.680000,6.240000,6.240000,6.240000,977100
2018-02-28,6.280000,6.330000,5.900000,5.950000,5.950000,918200
2018-03-01,5.920000,6.230000,5.900000,6.060000,6.060000,1001800
2018-03-02,5.970000,6.280000,5.940000,6.260000,6.260000,759700
2018-03-05,6.200000,6.540000,6.200000,6.420000,6.420000,695900
2018-03-06,6.460000,6.710000,6.460000,6.600000,6.600000,960900
2018-03-07,6.500000,6.710000,6.400000,6.620000,6.620000,1429700
2018-03-08,6.630000,6.700000,6.370000,6.450000,6.450000,894700
2018-03-09,6.530000,6.530000,6.350000,6.440000,6.440000,804600
2018-03-12,6.450000,6.620000,6.380000,6.470000,6.470000,833400
2018-03-13,6.500000,6.530000,6.080000,6.130000,6.130000,1030300
2018-03-14,6.170000,6.360000,6.110000,6.260000,6.260000,943400
2018-03-15,6.330000,6.330000,6.070000,6.200000,6.200000,754800
2018-03-16,6.210000,6.240000,6.040000,6.130000,6.130000,1099700
2018-03-19,6.070000,6.300000,5.950000,6.260000,6.260000,690600
2018-03-20,6.330000,6.390000,6.150000,6.180000,6.180000,390500
2018-03-21,6.190000,6.500000,6.170000,6.360000,6.360000,1004100
2018-03-22,6.250000,6.440000,6.210000,6.210000,6.210000,522900
2018-03-23,6.260000,6.500000,6.150000,6.230000,6.230000,613900
2018-03-26,6.330000,6.420000,6.100000,6.400000,6.400000,753100
2018-03-27,6.400000,6.420000,6.090000,6.130000,6.130000,574300
2018-03-28,6.130000,6.270000,6.010000,6.040000,6.040000,480600
2018-03-29,6.060000,6.190000,6.040000,6.100000,6.100000,681700
2018-04-02,6.070000,6.090000,5.730000,5.850000,5.850000,2017600
2018-04-03,5.900000,6.090000,5.800000,6.030000,6.030000,1059600
2018-04-04,5.970000,6.120000,5.900000,6.060000,6.060000,935800
2018-04-05,6.140000,6.350000,6.070000,6.290000,6.290000,955900
2018-04-06,6.260000,6.420000,6.120000,6.190000,6.190000,986500
2018-04-09,6.260000,6.260000,6.060000,6.070000,6.070000,632700
2018-04-10,6.190000,6.280000,6.080000,6.190000,6.190000,1009800
2018-04-11,6.190000,6.500000,6.170000,6.390000,6.390000,1178400
2018-04-12,6.460000,6.510000,6.260000,6.430000,6.430000,857300
