Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,2.400000,2.580000,2.360000,2.390000,2.390000,1411000
2018-01-03,2.400000,2.730000,2.270000,2.720000,2.720000,1563000
2018-01-04,2.950000,3.100000,2.760000,3.070000,3.070000,2411800
2018-01-05,3.100000,3.100000,2.880000,3.000000,3.000000,1264200
2018-01-08,2.970000,2.980000,2.680000,2.800000,2.800000,826200
2018-01-09,2.790000,2.880000,2.500000,2.780000,2.780000,884900
2018-01-10,2.780000,3.050000,2.710000,3.000000,3.000000,831200
2018-01-11,3.050000,3.300000,3.020000,3.270000,3.270000,1586900
2018-01-12,3.190000,3.240000,3.000000,3.070000,3.070000,1245900
2018-01-16,3.100000,3.220000,3.000000,3.070000,3.070000,686700
2018-01-17,3.040000,3.150000,2.880000,3.020000,3.020000,857400
2018-01-18,3.000000,3.070000,2.870000,2.910000,2.910000,604800
2018-01-19,3.000000,3.140000,2.950000,3.050000,3.050000,861900
2018-01-22,3.080000,3.250000,2.960000,3.200000,3.200000,1182100
2018-01-23,3.240000,3.530000,3.210000,3.480000,3.480000,1909200
2018-01-24,3.500000,3.500000,3.280000,3.380000,3.380000,930700
2018-01-25,3.380000,3.500000,3.250000,3.310000,3.310000,1078900
2018-01-26,3.310000,3.490000,3.280000,3.420000,3.420000,759700
2018-01-29,3.450000,3.590000,3.260000,3.340000,3.340000,1365800
2018-01-30,3.310000,3.310000,3.080000,3.210000,3.210000,830800
2018-01-31,3.270000,3.450000,3.170000,3.380000,3.380000,680600
2018-02-01,3.430000,3.550000,3.250000,3.290000,3.290000,947400
2018-02-02,3.250000,3.310000,2.950000,3.170000,3.170000,1160800
2018-02-05,3.140000,3.280000,2.950000,3.010000,3.010000,646800
2018-02-06,2.850000,3.060000,2.720000,2.980000,2.980000,1389000
2018-02-07,2.940000,3.140000,2.930000,2.950000,2.950000,607700
2018-02-08,3.010000,3.140000,2.960000,3.010000,3.010000,890900
2018-02-09,3.010000,3.060000,2.780000,2.990000,2.990000,640700
2018-02-12,3.010000,3.420000,2.930000,3.400000,3.400000,2783500
2018-02-13,3.400000,3.400000,3.130000,3.250000,3.250000,881900
2018-02-14,3.250000,3.370000,3.210000,3.320000,3.320000,517700
2018-02-15,3.130000,3.220000,3.000000,3.040000,3.040000,1176900
2018-02-16,3.030000,3.120000,2.940000,3.010000,3.010000,624900
2018-02-20,3.010000,3.070000,2.920000,2.990000,2.990000,1362000
2018-02-21,2.990000,3.030000,2.810000,2.850000,2.850000,953000
2018-02-22,2.850000,2.850000,2.610000,2.760000,2.760000,1433000
2018-02-23,2.740000,2.890000,2.680000,2.770000,2.770000,480500
2018-02-26,2.770000,2.880000,2.750000,2.780000,2.780000,383700
2018-02-27,2.760000,2.830000,2.550000,2.590000,2.590000,788500
2018-02-28,2.570000,2.650000,2.340000,2.410000,2.410000,1161300
