Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,20.250000,20.650000,20.090000,20.299999,20.299999,504000
2018-01-03,20.250000,21.049999,20.132999,21.000000,21.000000,627900
2018-01-04,21.049999,21.075001,20.350000,20.350000,20.350000,574200
2018-01-05,20.549999,20.900000,20.150000,20.799999,20.799999,362300
2018-01-08,20.799999,21.174999,20.350000,20.500000,20.500000,699800
2018-01-09,20.650000,21.150000,20.510000,21.000000,21.000000,774800
2018-01-10,21.049999,21.500000,20.500000,21.500000,21.500000,885200
2018-01-11,21.500000,22.900000,21.350000,22.150000,22.150000,3491900
2018-01-12,22.000000,22.350000,21.549999,21.700001,21.700001,753300
2018-01-16,21.850000,22.600000,21.125000,21.200001,21.200001,1620000
2018-01-17,20.850000,21.049999,19.055000,20.750000,20.750000,1077600
2018-01-18,20.549999,20.750000,19.799999,20.700001,20.700001,752900
2018-01-19,20.650000,21.200001,20.450001,21.100000,21.100000,729900
2018-01-22,21.150000,21.950001,20.950001,21.750000,21.750000,880000
2018-01-23,21.700001,22.200001,21.549999,21.900000,21.900000,1126000
2018-01-24,21.850000,22.500000,21.400000,21.850000,21.850000,1907300
2018-01-25,22.000000,22.799999,21.600000,22.400000,22.400000,1167400
2018-01-26,22.600000,24.000000,22.200001,23.650000,23.650000,2187800
2018-01-29,23.650000,24.150000,23.450001,23.600000,23.600000,971300
2018-01-30,23.350000,23.350000,22.700001,22.750000,22.750000,655900
2018-01-31,23.049999,23.600000,22.200001,22.450001,22.450001,552100
2018-02-01,22.250000,22.549999,20.900000,22.150000,22.150000,1244600
2018-02-02,22.049999,22.250000,21.299999,21.299999,21.299999,783900
2018-02-05,21.049999,22.000000,20.900000,21.299999,21.299999,702000
2018-02-06,20.900000,21.500000,20.049999,21.350000,21.350000,738800
2018-02-07,21.350000,21.750000,21.174999,21.700001,21.700001,610100
2018-02-08,21.750000,21.825001,20.650000,20.650000,20.650000,1129500
2018-02-09,20.950001,21.150000,19.700001,20.950001,20.950001,1014000
2018-02-12,21.049999,21.100000,20.350000,20.500000,20.500000,349200
2018-02-13,20.400000,20.700001,20.250000,20.549999,20.549999,382300
2018-02-14,20.299999,21.200001,20.225000,21.049999,21.049999,585700
2018-02-15,21.150000,21.375999,20.850000,21.150000,21.150000,387600
2018-02-16,21.150000,21.700001,21.150000,21.500000,21.500000,391900
2018-02-20,21.400000,21.725000,20.900000,21.049999,21.049999,427100
2018-02-21,21.150000,22.150000,20.950001,21.549999,21.549999,968500
2018-02-22,21.000000,21.549999,20.424999,20.600000,20.600000,1019400
2018-02-23,21.049999,21.125000,19.200001,19.299999,19.299999,1605700
2018-02-26,19.350000,20.700001,19.238001,20.700001,20.700001,1525900
2018-02-27,21.150000,21.400000,20.750000,21.150000,21.150000,1232400
