Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,6.250000,6.450000,6.250000,6.300000,6.300000,257600
2018-01-03,6.300000,6.500000,6.280000,6.300000,6.300000,204600
2018-01-04,6.400000,6.450000,6.300000,6.450000,6.450000,293800
2018-01-05,6.600000,7.750000,6.400000,7.650000,7.650000,3627300
2018-01-08,9.250000,9.550000,8.400000,8.600000,8.600000,4118400
2018-01-09,8.850000,8.900000,7.900000,8.750000,8.750000,1707500
2018-01-10,8.750000,9.350000,8.300000,8.750000,8.750000,1705800
2018-01-11,8.600000,8.950000,7.900000,8.000000,8.000000,1268900
2018-01-12,8.300000,8.550000,8.050000,8.550000,8.550000,686800
2018-01-16,8.850000,8.850000,8.050000,8.150000,8.150000,851800
2018-01-17,8.300000,8.400000,7.850000,8.200000,8.200000,520300
2018-01-18,8.350000,8.550000,8.150000,8.550000,8.550000,534700
2018-01-19,8.750000,8.750000,8.350000,8.400000,8.400000,539600
2018-01-22,8.450000,9.300000,8.400000,9.250000,9.250000,1348900
2018-01-23,9.250000,9.950000,9.000000,9.950000,9.950000,1554300
2018-01-24,10.300000,11.400000,10.000000,10.800000,10.800000,4081800
2018-01-25,9.900000,10.000000,9.450000,9.750000,9.750000,4231100
2018-01-26,10.000000,10.200000,9.350000,9.500000,9.500000,1415500
2018-01-29,9.400000,9.450000,8.200000,9.400000,9.400000,2116500
2018-01-30,9.350000,9.350000,8.820000,9.050000,9.050000,656900
2018-01-31,9.200000,9.350000,8.850000,9.100000,9.100000,770500
2018-02-01,9.000000,9.150000,8.500000,8.700000,8.700000,955100
2018-02-02,8.550000,8.700000,8.250000,8.450000,8.450000,852600
2018-02-05,8.250000,8.450000,7.900000,7.950000,7.950000,855000
2018-02-06,7.750000,8.400000,7.550000,8.130000,8.130000,1096500
2018-02-07,8.300000,8.350000,8.050000,8.250000,8.250000,543400
2018-02-08,8.200000,8.950000,8.050000,8.450000,8.450000,1068600
2018-02-09,8.500000,8.900000,8.250000,8.700000,8.700000,850800
2018-02-12,9.600000,9.600000,8.500000,8.800000,8.800000,750400
2018-02-13,8.750000,8.880000,8.400000,8.800000,8.800000,496000
2018-02-14,8.800000,8.930000,8.650000,8.850000,8.850000,477700
2018-02-15,8.800000,9.280000,8.800000,9.100000,9.100000,577600
2018-02-16,9.050000,9.150000,8.500000,8.850000,8.850000,664900
2018-02-20,8.650000,8.900000,8.000000,8.100000,8.100000,809300
2018-02-21,8.050000,8.500000,8.050000,8.300000,8.300000,395500
2018-02-22,8.250000,8.450000,8.000000,8.450000,8.450000,377600
2018-02-23,8.500000,8.500000,8.100000,8.400000,8.400000,324200
2018-02-26,8.400000,8.750000,8.250000,8.500000,8.500000,450800
2018-02-27,8.550000,8.590000,8.280000,8.400000,8.400000,220500
2018-02-28,8.400000,8.570000,8.300000,8.430000,8.430000,335500
2018-03-01,8.350000,8.400000,8.100000,8.300000,8.300000,512400
2018-03-02,8.200000,8.650000,8.100000,8.650000,8.650000,384100
2018-03-05,8.550000,9.000000,8.500000,8.850000,8.850000,552100
2018-03-06,8.900000,8.950000,8.300000,8.650000,8.650000,581500
2018-03-07,8.450000,8.580000,8.350000,8.350000,8.350000,282500
2018-03-08,8.300000,8.800000,8.230000,8.750000,8.750000,446200
2018-03-09,8.750000,8.900000,8.500000,8.700000,8.700000,657700
2018-03-12,8.650000,9.150000,8.500000,8.650000,8.650000,697200
2018-03-13,8.650000,9.150000,8.250000,8.250000,8.250000,539500
2018-03-14,8.250000,8.400000,7.900000,8.000000,8.000000,751100
2018-03-15,8.150000,8.150000,7.100000,7.450000,7.450000,1367300
2018-03-16,7.350000,7.700000,7.000000,7.650000,7.650000,1141900
2018-03-19,7.600000,7.900000,7.050000,7.450000,7.450000,1265700
2018-03-20,7.400000,7.700000,6.630000,6.950000,6.950000,1481300
2018-03-21,6.250000,6.580000,5.800000,5.950000,5.950000,2350900
2018-03-22,6.000000,6.500000,5.800000,6.450000,6.450000,1002700
2018-03-23,6.400000,6.630000,6.250000,6.450000,6.450000,447700
2018-03-26,6.550000,6.550000,5.900000,6.430000,6.430000,696300
2018-03-27,6.400000,6.400000,5.800000,5.900000,5.900000,606800
2018-03-28,5.900000,6.000000,5.250000,5.550000,5.550000,843000
2018-03-29,5.550000,5.800000,5.450000,5.500000,5.500000,428500
2018-04-02,5.500000,5.700000,5.400000,5.500000,5.500000,277900
2018-04-03,5.500000,5.700000,5.150000,5.150000,5.150000,569600
2018-04-04,4.950000,5.650000,4.900000,5.400000,5.400000,459500
2018-04-05,5.450000,5.650000,5.150000,5.250000,5.250000,402900
2018-04-06,5.200000,5.600000,5.150000,5.400000,5.400000,388700
2018-04-09,5.400000,5.550000,5.300000,5.400000,5.400000,309500
2018-04-10,5.400000,6.550000,5.400000,6.350000,6.350000,991200
2018-04-11,6.300000,6.310000,5.870000,6.100000,6.100000,383400
2018-04-12,6.050000,6.200000,5.930000,6.100000,6.100000,209900
2018-04-13,6.050000,6.200000,5.850000,6.050000,6.050000,165100
2018-04-16,6.100000,6.180000,5.900000,6.050000,6.050000,194200
2018-04-17,6.050000,6.730000,6.000000,6.650000,6.650000,941500
2018-04-18,6.600000,6.750000,6.400000,6.600000,6.600000,442300
2018-04-19,6.550000,6.750000,6.450000,6.600000,6.600000,225900
2018-04-20,6.600000,6.950000,6.500000,6.950000,6.950000,278500
2018-04-23,6.950000,6.950000,6.600000,6.850000,6.850000,279400
2018-04-24,6.800000,7.000000,6.320000,6.400000,6.400000,544000
2018-04-25,6.450000,6.500000,6.280000,6.450000,6.450000,222400
2018-04-26,6.400000,6.600000,6.300000,6.450000,6.450000,206900
2018-04-27,6.450000,6.450000,5.950000,6.050000,6.050000,451300
2018-04-30,6.050000,6.280000,6.050000,6.250000,6.250000,192700
2018-05-01,6.200000,6.330000,6.150000,6.200000,6.200000,234600
2018-05-02,6.100000,6.400000,5.950000,6.300000,6.300000,265000
2018-05-03,6.300000,6.350000,6.100000,6.100000,6.100000,90100
2018-05-04,6.050000,6.550000,6.000000,6.500000,6.500000,287400
2018-05-07,6.450000,6.600000,6.230000,6.350000,6.350000,280100
2018-05-08,6.300000,6.430000,6.200000,6.300000,6.300000,162100
2018-05-09,6.250000,6.400000,6.150000,6.400000,6.400000,237300
2018-05-10,6.400000,6.450000,6.080000,6.350000,6.350000,250900
2018-05-11,6.150000,6.150000,5.850000,5.900000,5.900000,386400
2018-05-14,6.050000,6.060000,5.300000,5.350000,5.350000,659600
2018-05-15,5.310000,5.950000,5.310000,5.900000,5.900000,512600
2018-05-16,5.900000,5.900000,5.550000,5.600000,5.600000,249700
2018-05-17,5.550000,5.700000,5.400000,5.450000,5.450000,218300
2018-05-18,5.450000,5.600000,5.300000,5.550000,5.550000,200300
2018-05-21,5.500000,5.610000,5.400000,5.400000,5.400000,141600
2018-05-22,5.400000,5.500000,5.330000,5.380000,5.380000,115700
2018-05-23,5.350000,5.750000,5.350000,5.650000,5.650000,278000
2018-05-24,5.700000,5.720000,5.500000,5.600000,5.600000,204400
2018-05-25,5.600000,5.900000,5.600000,5.900000,5.900000,157300
2018-05-29,5.900000,6.000000,5.800000,5.900000,5.900000,208200
2018-05-30,5.900000,6.200000,5.650000,6.150000,6.150000,399200
2018-05-31,6.150000,6.400000,6.100000,6.350000,6.350000,310600
2018-06-01,6.350000,6.450000,6.250000,6.300000,6.300000,282700
2018-06-04,6.300000,6.300000,6.000000,6.100000,6.100000,189300
2018-06-05,6.150000,6.230000,5.930000,6.150000,6.150000,244900
2018-06-06,6.300000,6.550000,6.250000,6.500000,6.500000,441700
2018-06-07,6.550000,6.750000,6.400000,6.750000,6.750000,439600
2018-06-08,6.700000,6.950000,6.550000,6.900000,6.900000,398900
2018-06-11,6.900000,7.050000,6.750000,6.900000,6.900000,305000
2018-06-12,7.000000,7.250000,6.900000,7.200000,7.200000,392000
2018-06-13,6.950000,6.950000,6.550000,6.880000,6.880000,565600
2018-06-14,6.950000,7.100000,6.700000,7.100000,7.100000,285200
2018-06-15,7.050000,7.400000,6.900000,7.350000,7.350000,686800
2018-06-18,7.300000,7.400000,6.900000,7.000000,7.000000,485400
2018-06-19,6.950000,7.450000,6.710000,7.200000,7.200000,1416500
2018-06-20,7.400000,7.400000,7.050000,7.250000,7.250000,455100
2018-06-21,7.300000,7.350000,6.900000,6.950000,6.950000,503700
2018-06-22,7.200000,7.700000,6.800000,7.600000,7.600000,3012300
2018-06-25,7.300000,7.500000,6.950000,7.300000,7.300000,771400
2018-06-26,7.300000,7.550000,7.250000,7.450000,7.450000,285400
2018-06-27,7.500000,7.500000,7.050000,7.080000,7.080000,488900
2018-06-28,7.100000,7.250000,6.900000,7.250000,7.250000,363500
2018-06-29,7.250000,7.500000,7.150000,7.450000,7.450000,402200
2018-07-02,7.400000,7.500000,7.250000,7.450000,7.450000,201100
2018-07-03,7.400000,7.400000,7.250000,7.400000,7.400000,81500
2018-07-05,7.400000,7.700000,7.150000,7.600000,7.600000,480400
2018-07-06,7.650000,7.700000,7.450000,7.550000,7.550000,262400
2018-07-09,7.500000,7.800000,7.400000,7.800000,7.800000,279100
2018-07-10,7.850000,8.000000,7.750000,7.950000,7.950000,367300
2018-07-11,8.000000,8.400000,8.000000,8.250000,8.250000,568100
2018-07-12,8.200000,8.450000,8.110000,8.250000,8.250000,595200
2018-07-13,8.200000,8.200000,7.500000,7.600000,7.600000,580100
2018-07-16,7.650000,8.000000,7.550000,7.950000,7.950000,324800
2018-07-17,7.900000,8.000000,7.700000,7.930000,7.930000,219400
2018-07-18,7.850000,8.030000,7.700000,7.950000,7.950000,134000
2018-07-19,7.950000,8.100000,7.850000,8.100000,8.100000,155000
2018-07-20,8.050000,8.100000,7.600000,7.680000,7.680000,320000
2018-07-23,7.600000,7.900000,7.550000,7.650000,7.650000,206400
2018-07-24,7.650000,7.700000,7.250000,7.400000,7.400000,225300
2018-07-25,7.300000,7.300000,6.150000,6.850000,6.850000,1073300
2018-07-26,6.600000,7.250000,6.500000,7.150000,7.150000,273200
2018-07-27,7.150000,7.150000,6.500000,6.550000,6.550000,358200
2018-07-30,6.550000,6.740000,6.400000,6.430000,6.430000,261100
2018-07-31,6.400000,6.650000,6.200000,6.200000,6.200000,333700
2018-08-01,6.200000,6.470000,6.200000,6.200000,6.200000,307400
2018-08-02,6.100000,6.450000,6.100000,6.350000,6.350000,166900
2018-08-03,6.400000,6.450000,6.250000,6.300000,6.300000,143500
2018-08-06,6.250000,6.450000,6.250000,6.400000,6.400000,95100
2018-08-07,6.400000,6.600000,6.330000,6.350000,6.350000,151100
2018-08-08,6.300000,6.350000,6.150000,6.200000,6.200000,131600
2018-08-09,6.250000,6.900000,6.250000,6.800000,6.800000,456600
2018-08-10,7.250000,7.350000,6.500000,6.600000,6.600000,377800
2018-08-13,6.600000,6.650000,6.400000,6.600000,6.600000,218800
2018-08-14,6.550000,6.550000,6.300000,6.300000,6.300000,152600
2018-08-15,6.300000,6.320000,5.880000,5.950000,5.950000,358100
2018-08-16,5.950000,6.300000,5.950000,6.250000,6.250000,218900
