Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,2.880000,3.220000,2.870000,3.210000,3.210000,8275400
2018-01-03,3.300000,3.430000,3.010000,3.260000,3.260000,9968700
2018-01-04,3.300000,3.320000,2.930000,3.110000,3.110000,5881300
2018-01-05,3.120000,3.230000,3.020000,3.200000,3.200000,3252900
2018-01-08,3.220000,3.550000,3.160000,3.380000,3.380000,9729700
2018-01-09,3.420000,3.490000,3.140000,3.140000,3.140000,4752400
2018-01-10,3.200000,3.400000,3.120000,3.310000,3.310000,3500400
2018-01-11,3.360000,3.380000,3.210000,3.310000,3.310000,2326200
2018-01-12,3.300000,3.400000,3.270000,3.340000,3.340000,2788500
2018-01-16,3.400000,3.490000,3.290000,3.350000,3.350000,3816900
2018-01-17,3.370000,3.510000,3.360000,3.430000,3.430000,3306700
2018-01-18,3.450000,3.850000,3.450000,3.820000,3.820000,7671700
2018-01-19,4.000000,4.070000,3.710000,3.860000,3.860000,6968300
2018-01-22,3.910000,4.180000,3.751000,4.160000,4.160000,6147200
2018-01-23,4.200000,4.440000,3.700000,3.960000,3.960000,14929900
2018-01-24,4.090000,4.150000,3.791000,3.870000,3.870000,3521500
2018-01-25,3.870000,4.050000,3.510000,3.890000,3.890000,8485400
2018-01-26,3.720000,3.980000,3.700000,3.850000,3.850000,3736400
2018-01-29,3.830000,3.888000,3.380000,3.460000,3.460000,6241000
2018-01-30,3.400000,3.720000,3.290000,3.510000,3.510000,4439800
2018-01-31,3.560000,3.620000,3.370000,3.410000,3.410000,3018100
2018-02-01,3.380000,3.460000,3.016000,3.080000,3.080000,5484600
2018-02-02,3.010000,3.120000,2.620000,2.730000,2.730000,10838400
2018-02-05,2.580000,2.740000,2.500000,2.560000,2.560000,7228100
2018-02-06,2.450000,2.936000,2.410000,2.890000,2.890000,6137000
2018-02-07,2.950000,2.980000,2.700000,2.750000,2.750000,3997800
2018-02-08,2.760000,2.810000,2.630000,2.630000,2.630000,2165300
2018-02-09,2.690000,2.760000,2.580000,2.730000,2.730000,2700000
2018-02-12,2.750000,2.890000,2.660000,2.680000,2.680000,2830200
2018-02-13,2.650000,2.690000,2.550000,2.650000,2.650000,1890200
2018-02-14,2.600000,2.940000,2.600000,2.900000,2.900000,2715200
2018-02-15,2.940000,3.229000,2.930000,3.110000,3.110000,4711400
2018-02-16,3.150000,3.199000,2.920000,3.020000,3.020000,2783100
2018-02-20,3.000000,3.002000,2.660000,2.710000,2.710000,3587100
2018-02-21,2.770000,2.840000,2.750000,2.760000,2.760000,1236500
2018-02-22,2.760000,2.800000,2.660000,2.720000,2.720000,1678200
2018-02-23,2.700000,2.770000,2.650000,2.660000,2.660000,1526100
2018-02-26,2.690000,2.746000,2.660000,2.680000,2.680000,1757900
2018-02-27,2.680000,2.690000,2.400000,2.440000,2.440000,4010500
2018-02-28,2.470000,2.600000,2.458000,2.510000,2.510000,1645600
2018-03-01,2.500000,2.500000,2.340000,2.420000,2.420000,2717700
2018-03-02,2.350000,2.550000,2.310000,2.510000,2.510000,1849500
2018-03-05,2.550000,2.570000,2.450000,2.520000,2.520000,1703400
2018-03-06,2.540000,2.608000,2.470000,2.570000,2.570000,2031300
2018-03-07,2.520000,2.650000,2.490000,2.620000,2.620000,1554600
2018-03-08,2.830000,2.910000,2.650000,2.860000,2.860000,4129700
2018-03-09,2.900000,2.910000,2.750000,2.790000,2.790000,1652700
2018-03-12,2.780000,2.810000,2.700000,2.720000,2.720000,1682400
2018-03-13,2.740000,2.750000,2.530000,2.630000,2.630000,1558700
2018-03-14,2.640000,2.640000,2.510000,2.550000,2.550000,1580700
2018-03-15,2.750000,2.810000,2.570000,2.650000,2.650000,3949700
2018-03-16,2.810000,2.810000,2.430000,2.480000,2.480000,7398100
2018-03-19,2.500000,2.550000,2.430000,2.480000,2.480000,2048600
2018-03-20,2.480000,2.490000,2.400000,2.420000,2.420000,1719300
2018-03-21,2.430000,2.520000,2.420000,2.490000,2.490000,1841100
2018-03-22,2.460000,2.490000,2.350000,2.390000,2.390000,2076400
2018-03-23,2.360000,2.490000,2.280000,2.380000,2.380000,2118200
2018-03-26,2.410000,2.460000,2.290000,2.440000,2.440000,2023600
2018-03-27,2.360000,2.439000,2.220000,2.260000,2.260000,2144900
2018-03-28,2.240000,2.280000,2.050000,2.210000,2.210000,4153700
2018-03-29,2.220000,2.380000,2.180000,2.350000,2.350000,2572000
2018-04-02,2.350000,2.400000,2.290000,2.350000,2.350000,1836400
2018-04-03,2.340000,2.350000,2.260000,2.320000,2.320000,1261000
2018-04-04,2.280000,2.290000,2.220000,2.280000,2.280000,1378800
2018-04-05,2.250000,2.410000,2.250000,2.380000,2.380000,1802800
2018-04-06,2.330000,2.400000,2.280000,2.310000,2.310000,1118200
2018-04-09,2.350000,2.360000,2.280000,2.300000,2.300000,769100
2018-04-10,2.320000,2.330000,2.250000,2.290000,2.290000,1125100
2018-04-11,2.290000,2.305000,2.250000,2.260000,2.260000,905600
2018-04-12,2.260000,2.330000,2.260000,2.320000,2.320000,1006700
2018-04-13,2.320000,2.350000,2.250000,2.300000,2.300000,1557700
2018-04-16,2.310000,2.430000,2.310000,2.360000,2.360000,1796200
2018-04-17,2.380000,2.440000,2.360000,2.400000,2.400000,1137900
2018-04-18,2.400000,2.420000,2.330000,2.350000,2.350000,956900
2018-04-19,2.360000,2.370000,2.260000,2.310000,2.310000,1242400
2018-04-20,2.270000,2.310000,2.205000,2.220000,2.220000,1270600
2018-04-23,2.230000,2.290000,2.110000,2.230000,2.230000,1896700
2018-04-24,2.220000,2.230000,1.921000,2.050000,2.050000,3424700
2018-04-25,2.040000,2.140000,1.960000,2.130000,2.130000,1706000
2018-04-26,2.110000,2.118000,2.040000,2.040000,2.040000,993600
2018-04-27,2.040000,2.079000,2.000000,2.020000,2.020000,939100
2018-04-30,2.000000,2.120000,2.000000,2.070000,2.070000,1147800
2018-05-01,2.080000,2.116000,2.020000,2.070000,2.070000,724500
2018-05-02,2.080000,2.120000,2.060000,2.070000,2.070000,828000
2018-05-03,2.050000,2.090000,2.000000,2.020000,2.020000,1007200
2018-05-04,2.080000,2.230000,2.030000,2.210000,2.210000,1846100
2018-05-07,2.250000,2.420000,2.200000,2.320000,2.320000,2507100
2018-05-08,2.330000,2.590000,2.300000,2.550000,2.550000,2881700
2018-05-09,2.600000,2.600000,2.330000,2.380000,2.380000,2636300
2018-05-10,2.370000,2.420000,2.280000,2.370000,2.370000,1357900
2018-05-11,2.400000,2.400000,2.270000,2.330000,2.330000,1020700
2018-05-14,2.350000,2.350000,2.230000,2.250000,2.250000,1087500
2018-05-15,2.250000,2.280000,2.220000,2.270000,2.270000,854000
2018-05-16,2.260000,2.370000,2.250000,2.290000,2.290000,1093000
2018-05-17,2.290000,2.320000,2.170000,2.190000,2.190000,1437900
2018-05-18,2.200000,2.220000,2.080000,2.100000,2.100000,2017600
2018-05-21,2.130000,2.160000,2.100000,2.110000,2.110000,914900
2018-05-22,2.120000,2.160000,2.050000,2.080000,2.080000,1147700
2018-05-23,2.090000,2.150000,2.085000,2.120000,2.120000,821700
2018-05-24,2.120000,2.160000,2.080000,2.130000,2.130000,1038200
2018-05-25,2.100000,2.130000,2.080000,2.090000,2.090000,730800
2018-05-29,2.080000,2.110000,2.040000,2.110000,2.110000,1022300
2018-05-30,2.110000,2.190000,2.100000,2.180000,2.180000,1184300
2018-05-31,2.190000,2.225000,2.110000,2.120000,2.120000,894300
2018-06-01,2.130000,2.230000,2.050000,2.230000,2.230000,1909700
2018-06-04,2.250000,2.250000,2.090000,2.240000,2.240000,1966800
2018-06-05,2.250000,2.250000,2.170000,2.210000,2.210000,1231000
2018-06-06,2.240000,2.270000,2.170000,2.240000,2.240000,1747800
2018-06-07,2.270000,2.270000,2.180000,2.210000,2.210000,1221000
2018-06-08,2.240000,2.299000,2.200000,2.260000,2.260000,1090600
2018-06-11,2.300000,2.340000,2.200000,2.230000,2.230000,1656400
2018-06-12,2.220000,2.310000,2.210000,2.290000,2.290000,1645600
2018-06-13,2.330000,2.330000,2.220000,2.280000,2.280000,2105600
2018-06-14,2.290000,2.290000,2.190000,2.230000,2.230000,1378600
2018-06-15,2.200000,2.245000,2.120000,2.130000,2.130000,1363000
2018-06-18,2.120000,2.220000,2.120000,2.180000,2.180000,1155000
2018-06-19,2.140000,2.200000,2.110000,2.170000,2.170000,1017100
2018-06-20,2.200000,2.220000,2.130000,2.140000,2.140000,1141000
2018-06-21,2.150000,2.170000,2.070000,2.160000,2.160000,1831700
2018-06-22,2.160000,2.440000,2.120000,2.440000,2.440000,14015000
2018-06-25,2.410000,2.550000,2.280000,2.510000,2.510000,3538300
2018-06-26,2.570000,2.610000,2.410000,2.510000,2.510000,2351000
2018-06-27,2.470000,2.540000,2.370000,2.370000,2.370000,2052600
2018-06-28,2.350000,2.550000,2.300000,2.520000,2.520000,2354900
2018-06-29,2.530000,2.550000,2.420000,2.460000,2.460000,2337000
2018-07-02,2.470000,2.567000,2.461000,2.550000,2.550000,1681900
2018-07-03,2.580000,2.730000,2.530000,2.700000,2.700000,2477300
2018-07-05,2.780000,3.010000,2.700000,2.930000,2.930000,4948400
2018-07-06,2.980000,2.987000,2.700000,2.850000,2.850000,3086800
2018-07-09,2.860000,2.869000,2.740000,2.770000,2.770000,1645500
2018-07-10,2.720000,2.795000,2.570000,2.620000,2.620000,2656000
2018-07-11,2.640000,2.775000,2.605000,2.720000,2.720000,2522800
2018-07-12,2.730000,2.730000,2.610000,2.640000,2.640000,1282900
2018-07-13,2.650000,2.810000,2.615000,2.760000,2.760000,2429400
2018-07-16,2.800000,2.820000,2.620000,2.640000,2.640000,1953300
2018-07-17,2.640000,2.670000,2.410000,2.460000,2.460000,2659600
2018-07-18,2.480000,2.490000,2.320000,2.440000,2.440000,2006200
2018-07-19,2.430000,2.570000,2.370000,2.570000,2.570000,1633200
2018-07-20,2.590000,2.700000,2.480000,2.490000,2.490000,2008400
2018-07-23,2.550000,2.550000,2.400000,2.450000,2.450000,1584400
2018-07-24,2.450000,2.570000,2.415000,2.480000,2.480000,1609000
2018-07-25,2.490000,2.550000,2.430000,2.460000,2.460000,1259500
2018-07-26,2.440000,2.550000,2.411000,2.470000,2.470000,1172900
2018-07-27,2.480000,2.520000,2.400000,2.400000,2.400000,1111500
2018-07-30,2.420000,2.500000,2.400000,2.440000,2.440000,939400
2018-07-31,2.440000,2.585000,2.420000,2.500000,2.500000,1379500
2018-08-01,2.540000,2.560000,2.430000,2.480000,2.480000,1159100
2018-08-02,2.470000,2.510000,2.430000,2.450000,2.450000,1149700
2018-08-03,2.440000,2.550000,2.420000,2.510000,2.510000,2074700
2018-08-06,2.520000,2.540000,2.440000,2.520000,2.520000,1476600
2018-08-07,2.520000,2.530000,2.450000,2.470000,2.470000,752100
2018-08-08,2.470000,2.492000,2.430000,2.480000,2.480000,851700
2018-08-09,2.450000,2.690000,2.430000,2.680000,2.680000,2680000
2018-08-10,2.690000,2.740000,2.560000,2.590000,2.590000,1653400
2018-08-13,2.580000,2.640000,2.400000,2.410000,2.410000,1997900
2018-08-14,2.500000,2.550000,2.340000,2.530000,2.530000,2618100
2018-08-15,2.510000,2.540000,2.360000,2.410000,2.410000,1392600
2018-08-16,2.400000,2.450000,2.310000,2.320000,2.320000,1320900
2018-08-17,2.310000,2.370000,2.270000,2.330000,2.330000,1345800
2018-08-20,2.350000,2.380000,2.260000,2.280000,2.280000,1317800
2018-08-21,2.280000,2.440000,2.220000,2.390000,2.390000,3233100
2018-08-22,2.440000,2.470000,2.350000,2.450000,2.450000,1637500
2018-08-23,2.460000,2.470000,2.380000,2.400000,2.400000,1038600
2018-08-24,2.390000,2.550000,2.390000,2.500000,2.500000,2233200
2018-08-27,2.580000,2.583000,2.450000,2.450000,2.450000,1738500
2018-08-28,2.450000,2.480000,2.370000,2.470000,2.470000,1312800
2018-08-29,2.480000,2.510000,2.450000,2.490000,2.490000,1100200
2018-08-30,2.530000,2.640000,2.480000,2.600000,2.600000,2334300
2018-08-31,2.590000,2.710000,2.560000,2.710000,2.710000,2105200
2018-09-04,2.740000,2.850000,2.710000,2.740000,2.740000,3097000
2018-09-05,2.820000,2.830000,2.600000,2.760000,2.760000,1762000
2018-09-06,2.750000,2.770000,2.580000,2.580000,2.580000,1135500
2018-09-07,2.610000,2.700000,2.560000,2.670000,2.670000,1467100
