Date,Open,High,Low,Close,Volume
2019-07-15,81.46,81.46,80.36,81.03,1110606
2019-07-16,81.29,81.98,80.88,80.94,1845325
2019-07-17,80.76,81.13,79.98,80.02,1283771
2019-07-18,79.73,81.66,79.71,81.63,1854762
2019-07-19,81.86,82.22,81.25,81.74,2404072
2019-07-22,81.66,82.57,81.59,82.33,3052938
2019-07-23,82.88,84.79,82.68,84.48,3563525
2019-07-24,87.66,92.37,87.27,92,7057480
2019-07-25,92.91,92.91,91.3,91.76,3344230
2019-07-26,91.82,92.98,91,92.91,2697975
2019-07-29,92.75,92.75,91.49,91.77,2271808
2019-07-30,90.88,91.96,90.52,91.05,2326894
2019-07-31,90.49,90.73,89.21,89.74,2604552
2019-08-01,89.75,90.05,87.02,87.62,3265020
2019-08-02,87.26,87.57,85.33,86.68,2574169
2019-08-05,84.83,84.96,82.55,83.2,3157356
2019-08-06,84.14,84.39,83.02,84.31,2440213
2019-08-07,82.68,83.94,81.86,83.77,2625049
2019-08-08,84.25,85.32,83.83,84.63,2146636
2019-08-09,84.23,84.68,83.51,83.99,1263560
2019-08-12,83.21,83.41,81.49,81.56,1200990
2019-08-13,81.24,83.55,81,82.95,1992137
2019-08-14,80.98,81.43,79.36,79.42,1879413
2019-08-15,79.84,80.5,78.54,79.03,1913553
2019-08-16,79.56,80.9,79.44,80.35,1853595
2019-08-19,81.65,81.81,80.7,80.88,1650587
2019-08-20,80.48,80.84,79.69,79.75,1445925
2019-08-21,80.06,80.24,79.58,79.77,1135199
2019-08-22,80.22,80.72,79.37,79.68,976663
2019-08-23,79.2,79.77,76.26,76.76,1670278
2019-08-26,77.5,78.09,76.63,78.06,1410768
2019-08-27,78.57,78.68,77.03,77.49,2018854
2019-08-28,77.17,79.36,77.16,78.96,1563114
2019-08-29,79.9,80.47,79.54,80,960403
2019-08-30,80.73,80.73,79.32,79.97,1498362
2019-09-03,79.11,79.34,77.56,78.46,1734327
2019-09-04,79.27,79.66,78.71,79.33,1968207
2019-09-05,80.55,82.14,80.38,81.82,1943407
2019-09-06,81.99,82.63,81.5,82.25,1792583
2019-09-09,83.08,85.69,83.08,84.47,2212269
2019-09-10,84.21,85.08,83.4,84.32,1939760
2019-09-11,84.34,84.4,83.01,84.39,1868673
2019-09-12,84.52,84.96,83.59,84.5,1954131
2019-09-13,85.21,85.63,84.44,84.78,1650974
2019-09-16,83.92,83.92,82.35,83.59,1809215
2019-09-17,83.38,84.12,82.8,83.9,1856969
2019-09-18,83.74,84.46,82.94,84.31,1229340
2019-09-19,84.09,84.95,83.66,83.74,1115153
2019-09-20,84.05,84.57,82.94,82.94,2928039
2019-09-23,82.08,83.59,82.01,83.31,1535454
2019-09-24,83.73,84.25,81.6,82,2386195
2019-09-25,81.98,82.3,80.95,81.75,2134968
2019-09-26,81.93,82.17,81.15,81.35,1415938
2019-09-27,81.99,82.67,81.06,81.51,1106814
2019-09-30,81.87,81.95,80.89,81.09,1842968
2019-10-01,81.71,81.85,78.78,78.94,1989256
2019-10-02,78.15,78.36,76.2,76.81,1948761
2019-10-03,76.43,77.02,74.85,76.51,1826987
2019-10-04,76.52,77.95,76.52,77.89,1349172
2019-10-07,77.55,78.65,77.49,77.7,1601459
2019-10-08,76.78,76.78,75.16,75.17,1487405
2019-10-09,75.96,76.86,75.75,76.14,1743923
2019-10-10,76.29,77.48,76.21,76.5,1482630
