Date,Open,High,Low,Close,Volume
2019-07-15,273.55,273.6,272.96,273.6,2624471
2019-07-16,273.62,273.99,272.9,273.42,1780357
2019-07-17,273.34,273.45,272.18,272.28,1550805
2019-07-18,271.66,272.75,270.75,272.27,2124399
2019-07-19,273.18,273.34,271.36,271.45,2364266
2019-07-22,271.77,272.16,270.8,271.65,1623561
2019-07-23,272.79,273.61,271.95,273.35,1722929
2019-07-24,272.25,272.85,271.83,272.61,2355391
2019-07-25,272.48,272.58,270.52,271.39,2348580
2019-07-26,271.65,272.05,271.11,271.86,1731277
2019-07-29,271.86,272.68,271.69,272.13,1346401
2019-07-30,271.09,272.15,270.62,271.91,1674302
2019-07-31,272.3,272.68,267.1,268.52,5058843
2019-08-01,268.82,271.71,265.4,265.76,7225326
2019-08-02,265.21,265.77,262.43,264.81,5691451
2019-08-05,260.99,261.15,255.13,257.1,6608172
2019-08-06,258.55,260.36,257.05,260.29,4991027
2019-08-07,257.13,260.69,254.36,260.24,5089469
2019-08-08,261.46,264.13,260.58,264.13,3637099
2019-08-09,263.44,264.44,261.25,263.18,3773003
2019-08-12,261.42,262.17,258.56,259.4,3072737
2019-08-13,259.07,264.63,258.63,263.17,4332355
2019-08-14,259.18,259.73,255.06,255.08,6147957
2019-08-15,256.24,256.95,253.93,256.36,4038455
2019-08-16,257.39,259.25,256.87,258.88,2748371
2019-08-19,262.04,262.25,260.82,261.34,2033201
2019-08-20,261.01,261.56,259.47,259.69,1981083
2019-08-21,261.83,262.66,261.49,262.03,2163005
2019-08-22,262.71,263.82,260.95,262.56,2329657
2019-08-23,261.27,263.19,255.04,256.29,6296172
2019-08-26,259,259.42,257.18,259.1,3146630
2019-08-27,260.51,260.56,257.24,257.8,3081241
2019-08-28,257.02,260.46,256.34,260.39,2743182
2019-08-29,262.94,264.24,262,263.9,3742555
2019-08-30,265.27,265.4,263.17,264.13,2443354
2019-09-03,262.07,262.2,260.03,261.42,3090489
2019-09-04,263.58,263.95,262.77,263.93,1971058
2019-09-05,266.73,268.71,266.7,267.68,3624350
2019-09-06,268.07,268.94,267.41,268.32,2470377
2019-09-09,268.85,269.4,268.03,268.8,2243429
2019-09-10,268.48,269.42,267.55,269.39,2654313
2019-09-11,269.72,271.74,269.22,271.69,1899773
2019-09-12,272.62,273.44,271.46,272.32,3272206
2019-09-13,273.02,273.28,272.46,272.6,2182688
2019-09-16,271.6,272.21,270.8,271.17,4077522
2019-09-17,270.59,271.58,270.37,271.56,1762986
2019-09-18,271.24,272.13,269.48,271.97,3056480
2019-09-19,272.47,273.2,271.13,271.42,3268663
2019-09-20,271.39,271.76,269.09,269.25,4080943
2019-09-23,268.25,269.97,268.07,269.36,1913266
2019-09-24,270.42,270.61,266.88,267.97,3745984
2019-09-25,268.4,270.13,267.42,269.58,3413791
2019-09-26,270.01,270.01,267.9,268.88,2406636
2019-09-27,269.58,269.97,267,267.99,3172209
2019-09-30,268.51,269.83,268.51,269.18,2132213
2019-10-01,269.76,270.29,265.45,265.5,3568373
2019-10-02,264.06,264.06,259.57,260.72,7035988
2019-10-03,260.31,262.03,257.38,262.01,5684506
2019-10-04,262.88,265.85,262.72,265.66,3229515
2019-10-07,264.92,266.5,264.19,264.74,2343319
2019-10-08,262.64,264.21,261.35,261.58,3943473
2019-10-09,263.44,264.24,262.48,263.43,2064206
2019-10-10,263.23,266.03,263.11,265.01,2430485
2019-10-11,267.77,270.14,267.62,268.16,4186362
2019-10-14,267.6,268.73,267.44,267.86,1212897
2019-10-15,269.12,271.19,268.86,270.22,3181257
2019-10-16,269.79,270.56,269.4,270.08,2419453
2019-10-17,270.67,271.15,269.71,270.38,1894478
2019-10-18,269.61,275,267.62,267.64,2241257
2019-10-21,268.06,268.37,267.4,268.21,1384108
2019-10-22,268.48,269.38,267.76,267.82,2546297
2019-10-23,268.12,268.9,267.36,268.24,1702903
2019-10-24,269.02,269.12,267.06,267.98,1846919
2019-10-25,267.72,270.12,267.62,269.6,1825533
2019-10-28,270.78,271.58,270.19,270.81,1813273
2019-10-29,270.47,271.6,270.31,270.87,2885958
2019-10-30,270.87,271.99,269.88,271.74,2146834
2019-10-31,271.57,271.66,269.07,270.48,3024439
2019-11-01,271.86,273.34,271.69,273.34,2989672
2019-11-04,274.73,275.05,273.96,274.55,1574198
2019-11-05,275.08,275.51,274.43,274.81,1712906
2019-11-06,275.02,275.21,273.99,274.8,1607540
2019-11-07,276.56,278.05,276.56,277.05,3029454
2019-11-08,277.16,277.24,276.05,277.07,1512713
2019-11-11,275.79,277.41,275.39,277.16,1731935
2019-11-12,277.43,277.99,276.64,277.29,1695664
2019-11-13,276.34,278.4,276.17,278.05,2599747
2019-11-14,277.88,278.32,277.09,278.23,1586544
2019-11-15,278.87,279.95,278.5,279.94,2363768
2019-11-18,279.76,280.36,279.61,280.27,1793881
2019-11-19,280.83,280.84,278.87,279.33,1931159
2019-11-20,278.64,278.9,276.72,278.2,2468704
2019-11-21,278.33,278.42,277.16,277.72,1383484
2019-11-22,278.38,279.03,277.79,278.86,1419523
2019-11-25,279.68,280.81,279.64,280.8,1815534
2019-11-26,281.07,281.58,280.61,281.36,1305783
2019-11-27,281.61,281.91,281.01,281.91,1790471
2019-11-29,281.3,281.57,280.84,280.95,811888
2019-12-02,281.45,281.49,278.2,278.2,2552515
2019-12-03,275.43,275.64,273.62,275.51,3837952
2019-12-04,277,277.76,276.61,277.05,1932368
2019-12-05,277.86,277.86,276.15,277.36,1455896
2019-12-06,279.45,280.94,279.39,280.7,2686913
2019-12-09,280.44,280.72,279.7,279.76,1469588
2019-12-10,279.69,280.14,278.63,279.46,1408673
2019-12-11,279.13,279.9,278.65,279.72,1923604
2019-12-12,279.52,282.95,279.24,281.95,3791831
2019-12-13,281.93,283.61,281,282.11,3066885
2019-12-16,282.93,284.11,282.93,283.07,2120679
2019-12-17,283.19,284,282.91,283.4,1698149
2019-12-18,283.79,283.91,283.15,283.21,1606536
2019-12-19,283.65,284.54,283.57,284.46,1816492
2019-12-20,284.76,285.06,284.32,284.46,3638299
2019-12-23,285.34,285.66,285.15,285.33,2566018
2019-12-24,285.63,285.63,284.87,285.01,611593
2019-12-26,285.23,286.1,285.2,286.06,933330
2019-12-27,286.83,286.85,285.9,286.33,1930421
2019-12-30,286.34,286.41,284.12,284.53,2556317
2019-12-31,283.91,285.31,283.56,285.1,1342339
2020-01-02,286.44,288.63,286.15,288.62,3871798
2020-01-03,285.34,287.11,285.18,286.32,3296709
2020-01-06,284.29,287.03,284.16,286.98,1648682
2020-01-07,286.3,286.79,285.58,285.74,1526173
2020-01-08,285.32,288.67,285.08,287.4,3138656
2020-01-09,288.95,289.84,288.43,289.56,1790626
2020-01-10,289.96,290.04,287.84,288.24,2989819
2020-01-13,288.79,289.08,288.14,289.02,1471574
2020-01-14,288.87,290.49,288.72,289.22,2202118
2020-01-15,289.01,291.24,288.95,290.35,2195108
2020-01-16,291.63,292.97,291.47,292.93,2522044
2020-01-17,293.52,293.61,292.79,293.27,2147389
2020-01-21,292.44,293.28,291.37,291.83,4476910
2020-01-22,292.5,293.07,291.58,291.81,2077014
2020-01-23,290.75,291.86,289.6,291.54,1872554
2020-01-24,292.54,292.77,288.34,289.8,3612534
2020-01-27,284.85,286.64,283.86,285.36,4129077
2020-01-28,286.22,288.19,285.75,287.29,2999200
2020-01-29,288.99,289.28,287.21,287.29,2137029
2020-01-30,285.67,288.77,284.85,288.54,3433177
2020-01-31,286.96,287.23,281.61,282.42,4885660
2020-02-03,283.69,286.26,283.5,283.98,3169335
2020-02-04,287.68,289,287.42,288.04,3004116
2020-02-05,290.76,293.04,289.95,292.86,3305903
2020-02-06,294.02,294.14,292.45,293.74,2857207
2020-02-07,292.76,292.81,290.66,291.19,3839279
2020-02-10,290.2,292.96,290.16,292.95,2877674
2020-02-11,294.35,294.42,292.28,292.94,1994456
2020-02-12,294.63,295.87,294.53,295.72,2804383
2020-02-13,294.39,295.84,293.92,294.82,2637966
2020-02-14,294.97,295.13,293.4,294.54,1861714
2020-02-18,293.15,293.88,291.76,292.95,2414999
2020-02-19,293.77,294.72,293.38,294.1,1474385
2020-02-20,293.56,294.29,290.17,292.78,3493860
2020-02-21,290.8,291.05,288.75,289.74,3272935
2020-02-24,280.33,282.78,278.97,279.56,6595237
2020-02-25,280.8,281.36,269.88,270.7,9903677
2020-02-26,271.99,275.31,268.83,269.74,7514831
2020-02-27,264.86,267.73,257.39,257.5,11188868
2020-02-28,250.52,255.12,247,254.56,17555116
2020-03-02,256.71,267.25,254.06,267.03,8544492
2020-03-03,267.8,271.02,257.18,259.3,11482599
2020-03-04,265.45,271.11,262.96,270.89,5408059
2020-03-05,264.27,266.53,259.56,261.46,5872852
2020-03-06,253.67,260.1,252.43,258.85,7372397
2020-03-09,241.5,247.07,237.17,238.72,10406911
2020-03-10,247.29,250.54,237.09,250.47,9407066
2020-03-11,243.54,244.91,233.6,235.84,7732616
2020-03-12,220.5,229,211.83,212.11,17322591
2020-03-13,225.65,232.48,213.29,232.11,13676016
2020-03-16,206.5,218.31,201.51,202.49,12407034
2020-03-17,207.01,214.47,199.35,213.47,16128070
2020-03-18,199.07,205.44,189.67,199.39,13369843
2020-03-19,198.37,204.98,192.32,201.31,13532072
2020-03-20,203.29,205.29,191,191.9,12205979
2020-03-23,190.13,191.2,182.1,186.13,15712333
