Date,Open,High,Low,Close,Volume
2019-07-15,10.49,10.56,10.34,10.42,33753508
2019-07-16,10.37,10.51,10.29,10.51,29530493
2019-07-17,10.48,10.5,10.31,10.33,25204389
2019-07-18,10.3,10.31,10.18,10.26,25828860
2019-07-19,10.3,10.32,10.2,10.2,38505641
2019-07-22,10.13,10.17,10,10.02,36238647
2019-07-23,10.13,10.22,10.06,10.17,74624841
2019-07-24,10.18,10.35,10.14,10.33,61107450
2019-07-25,9.75,9.78,9.4,9.56,133898570
2019-07-26,9.58,9.65,9.51,9.57,47710167
2019-07-29,9.6,9.68,9.52,9.6,36487758
2019-07-30,9.56,9.58,9.48,9.55,36944663
2019-07-31,9.57,9.58,9.4,9.53,56715513
2019-08-01,9.53,9.59,9.28,9.31,58060754
2019-08-02,9.26,9.34,9.21,9.28,41495163
2019-08-05,9.18,9.27,9.06,9.23,47963445
2019-08-06,9.42,9.51,9.36,9.48,51856101
2019-08-07,9.43,9.56,9.32,9.53,43042366
2019-08-08,9.56,9.62,9.51,9.56,25468954
2019-08-09,9.54,9.58,9.39,9.45,38739667
2019-08-12,9.39,9.43,9.28,9.29,22539226
2019-08-13,9.29,9.42,9.18,9.26,28314963
2019-08-14,9.13,9.15,8.96,9,45967364
2019-08-15,9.06,9.06,8.78,8.86,40682769
2019-08-16,8.92,9,8.81,8.96,27369852
2019-08-19,9.05,9.1,9.02,9.03,21844004
2019-08-20,9,9.07,8.93,8.96,25119456
2019-08-21,9.02,9.05,8.97,9.04,20443922
2019-08-22,9.05,9.14,9.02,9.04,20977683
2019-08-23,8.9,8.99,8.73,8.77,44987686
2019-08-26,8.88,8.91,8.79,8.82,31890304
2019-08-27,8.89,8.91,8.75,8.76,23032302
2019-08-28,8.72,9.04,8.7,9,35147625
2019-08-29,9.1,9.14,9.03,9.12,22016749
2019-08-30,9.16,9.23,9.1,9.17,32060743
2019-09-03,9.18,9.2,9.04,9.1,26331720
2019-09-04,9.17,9.23,9.07,9.2,27410227
2019-09-05,9.25,9.4,9.25,9.34,36640467
2019-09-06,9.37,9.41,9.2,9.34,29210272
2019-09-09,9.39,9.65,9.39,9.54,48059365
2019-09-10,9.08,9.42,9.04,9.42,70567287
2019-09-11,9.29,9.43,9.29,9.42,34190270
2019-09-12,9.36,9.48,9.32,9.41,35687710
2019-09-13,9.47,9.59,9.44,9.45,27161260
2019-09-16,9.36,9.45,9.24,9.3,50052608
2019-09-17,9.27,9.31,9.18,9.28,27510984
2019-09-18,9.26,9.36,9.22,9.25,24473869
2019-09-19,9.31,9.33,9.1,9.1,29133987
2019-09-20,9.13,9.3,9.11,9.17,38117099
2019-09-23,9.13,9.23,9.08,9.16,23591820
2019-09-24,9.19,9.23,9.05,9.11,33167702
2019-09-25,9.1,9.23,9.09,9.2,20555603
2019-09-26,9.23,9.23,9.07,9.14,26593308
2019-09-27,9.14,9.6,9.06,9.08,32462237
2019-09-30,9.11,9.21,9.1,9.16,22493308
2019-10-01,9.19,9.24,8.87,8.9,39690749
2019-10-02,8.85,8.86,8.44,8.61,68290414
2019-10-03,8.55,8.71,8.45,8.71,41250596
2019-10-04,8.72,8.76,8.66,8.74,28096692
2019-10-07,8.7,8.79,8.61,8.68,29494228
2019-10-08,8.65,8.66,8.5,8.54,31598385
2019-10-09,8.61,8.64,8.56,8.56,16979210
2019-10-10,8.58,8.65,8.52,8.62,28223352
2019-10-11,8.73,8.87,8.73,8.78,34210303
2019-10-14,8.82,8.84,8.76,8.82,25444792
2019-10-15,8.84,9.1,8.78,9.07,31040706
2019-10-16,9.11,9.19,9.06,9.07,27386353
2019-10-17,9.12,9.14,9.03,9.11,28652392
2019-10-18,9.09,9.32,9.09,9.29,42432622
2019-10-21,9.19,9.25,9.01,9.03,33812870
2019-10-22,9.01,9.14,8.96,9.07,35997409
2019-10-23,9.01,9.21,8.97,9.21,46677592
2019-10-24,8.87,8.89,8.55,8.6,121123977
2019-10-25,8.67,8.75,8.62,8.72,51373623
2019-10-28,8.76,8.76,8.58,8.61,39635287
2019-10-29,8.59,8.71,8.59,8.64,36771757
2019-10-30,8.64,8.64,8.52,8.54,28685314
2019-10-31,8.58,8.6,8.5,8.59,29124080
2019-11-01,8.64,8.93,8.64,8.89,55354930
2019-11-04,8.93,9.05,8.93,9,46716530
2019-11-05,9.02,9.15,9,9.02,37569674
2019-11-06,9.05,9.05,8.89,8.92,39497700
2019-11-07,8.96,9.01,8.88,8.89,32640397
2019-11-08,8.9,9.04,8.82,9.04,29489854
2019-11-11,8.95,9.1,8.94,9.08,24852635
2019-11-12,9.06,9.13,9.04,9.04,28710942
2019-11-13,9,9,8.8,8.81,34820794
2019-11-14,8.85,8.91,8.78,8.79,26542134
2019-11-15,8.85,8.96,8.85,8.95,26430897
2019-11-18,9.05,9.05,8.89,8.95,38296388
2019-11-19,8.99,9,8.87,8.9,31192765
2019-11-20,8.88,8.89,8.68,8.73,38291750
2019-11-21,8.77,8.79,8.67,8.71,33161371
2019-11-22,8.8,8.9,8.77,8.89,34966746
2019-11-25,8.9,9.01,8.87,9,30617388
2019-11-26,8.98,9.02,8.91,9.01,30106841
2019-11-27,9.03,9.15,9.02,9.1,37424079
2019-11-29,9.04,9.1,9.03,9.06,13096150
2019-12-02,9.08,9.14,9,9.01,37270512
2019-12-03,8.95,8.95,8.8,8.89,41121654
2019-12-04,8.95,9.03,8.94,8.95,29994673
2019-12-05,8.97,9,8.88,8.93,25770717
2019-12-06,8.96,9.07,8.95,9.02,31111724
2019-12-09,8.97,9.07,8.96,9.01,21898172
2019-12-10,9.02,9.1,8.96,9.07,34233141
2019-12-11,9.06,9.14,9.06,9.11,33205336
2019-12-12,9.11,9.36,9.11,9.32,48398724
2019-12-13,9.32,9.39,9.19,9.23,35334491
2019-12-16,9.24,9.39,9.22,9.39,42339949
2019-12-17,9.38,9.41,9.31,9.39,35516663
2019-12-18,9.39,9.58,9.36,9.54,45929401
2019-12-19,9.55,9.57,9.38,9.41,42237371
2019-12-20,9.5,9.54,9.44,9.48,50199268
2019-12-23,9.5,9.57,9.4,9.44,54795992
2019-12-24,9.44,9.49,9.43,9.47,11881604
2019-12-26,9.47,9.49,9.43,9.45,28982311
