Date,Open,High,Low,Close,Volume
2019-07-15,10.25,10.34,10.2,10.27,42095061
2019-07-16,10.23,10.4,10.21,10.38,39533151
2019-07-17,10.37,10.37,9.98,9.98,53682958
2019-07-18,10.01,10.19,9.96,10.06,45158456
2019-07-19,10.08,10.19,10.03,10.04,34653924
2019-07-22,10.05,10.23,10.05,10.21,43333017
2019-07-23,10.28,10.68,10.27,10.65,74298330
2019-07-24,10.58,10.7,10.54,10.68,44897511
2019-07-25,10.63,10.67,10.36,10.43,46121049
2019-07-26,10.47,10.55,10.4,10.51,27015849
2019-07-29,10.5,10.58,10.38,10.38,37369367
2019-07-30,10.39,10.58,10.28,10.52,45314465
2019-07-31,10.76,10.79,10.05,10.45,172474052
2019-08-01,10.37,10.49,9.98,10.08,87921689
2019-08-02,10.01,10.08,9.82,10,64296389
2019-08-05,9.79,9.81,9.61,9.66,70243190
2019-08-06,9.71,9.75,9.48,9.57,66397813
2019-08-07,9.44,9.47,9.23,9.46,76790358
2019-08-08,9.51,9.53,9.32,9.49,49406611
2019-08-09,9.47,9.48,9.12,9.15,76720823
2019-08-12,9.04,9.09,8.95,9.05,65585044
2019-08-13,9.23,9.59,9.21,9.35,74172556
2019-08-14,9.24,9.3,8.96,9.03,89194634
2019-08-15,8.54,8.63,7.65,8.01,401048654
2019-08-16,8.41,8.8,8.37,8.79,248883644
2019-08-19,8.88,8.89,8.61,8.67,111637593
2019-08-20,8.58,8.6,8.33,8.38,102347809
2019-08-21,8.36,8.48,8.14,8.16,85305082
2019-08-22,8.18,8.31,8.11,8.19,68173857
2019-08-23,8.09,8.1,7.76,7.97,128643149
2019-08-26,8.06,8.1,7.92,8.05,58001253
2019-08-27,8.09,8.11,7.91,7.93,66128924
2019-08-28,7.92,7.99,7.76,7.94,57703520
2019-08-29,8.04,8.2,8,8.11,58769871
2019-08-30,8.14,8.26,8.11,8.25,47362306
2019-09-03,8.1,8.39,8.08,8.33,67658893
2019-09-04,8.41,8.87,8.4,8.8,93667301
2019-09-05,8.99,9.23,8.8,8.81,86959548
2019-09-06,8.82,8.82,8.57,8.71,42846151
2019-09-09,8.75,9.05,8.73,8.96,49960546
2019-09-10,8.91,9.27,8.91,9.14,62617211
2019-09-11,9.15,9.36,9.06,9.36,57094946
2019-09-12,9.4,9.52,9.22,9.26,68115146
2019-09-13,9.31,9.45,9.14,9.34,45589448
2019-09-16,9.3,9.42,9.17,9.38,45748351
2019-09-17,9.3,9.39,9.25,9.36,38106281
2019-09-18,9.31,9.39,9.18,9.38,40611382
2019-09-19,9.35,9.5,9.34,9.42,34127580
2019-09-20,9.46,9.54,9.34,9.37,58256814
2019-09-23,9.22,9.39,9.2,9.34,34058757
2019-09-24,9.31,9.35,8.96,8.97,53879408
2019-09-25,8.96,9.2,8.94,9.16,43984347
2019-09-26,9.18,9.21,8.96,9.02,37613798
2019-09-27,9.04,9.17,8.99,9.04,30521211
2019-09-30,9.08,9.1,8.94,8.94,35356841
2019-10-01,8.96,9.04,8.51,8.61,68953593
2019-10-02,8.56,8.62,8.41,8.51,47649070
