Date,Open,High,Low,Close,Volume
2019-07-15,39.21,39.36,38.89,39.36,5448843
2019-07-16,38.99,39.7,38.65,39.43,8584759
2019-07-17,39.41,39.46,38.82,39.16,5727315
2019-07-18,38.97,39.28,38.87,39.12,5713764
2019-07-19,39.4,39.82,39.24,39.48,8194487
2019-07-22,39.96,40.37,39.77,39.86,6814590
2019-07-23,40.35,40.92,40.15,40.71,12584313
2019-07-24,40.59,40.91,40.33,40.88,7318548
2019-07-25,40.34,40.82,40.12,40.75,8304803
2019-07-26,40.72,41,40.47,40.77,5705945
2019-07-29,40.71,40.88,40.56,40.68,5711203
2019-07-30,40.26,40.56,39.92,40.43,5436861
2019-07-31,40.6,40.72,40.11,40.34,10155715
2019-08-01,41.26,41.9,39.67,40.15,18102916
2019-08-02,39.91,40.23,39.59,39.78,9144879
2019-08-05,39.2,39.28,38.68,39.01,9478032
2019-08-06,39.16,39.31,38.65,39.08,7104475
2019-08-07,38.69,39.5,38.41,39.39,7924699
2019-08-08,39.5,40.2,39.37,40.1,6204377
2019-08-09,39.76,39.86,39.3,39.61,6125010
2019-08-12,39.23,39.31,38.67,38.86,4129924
2019-08-13,38.83,39.63,38.48,39.01,6350376
2019-08-14,38.25,38.28,37.05,37.19,9878088
2019-08-15,37.17,37.24,36.15,36.47,7904300
2019-08-16,36.58,37.1,36.37,37,7171944
2019-08-19,37.51,37.6,37.19,37.36,3900136
2019-08-20,37.2,37.29,36.92,36.96,4110525
2019-08-21,37.36,37.36,37.06,37.12,3793507
2019-08-22,37.25,37.51,37.05,37.26,4044319
2019-08-23,36.61,37.18,35.9,36.06,7834868
2019-08-26,36.49,36.61,36.01,36.25,4838792
2019-08-27,36.47,36.58,35.85,35.89,6222856
2019-08-28,35.7,36.57,35.58,36.44,7284586
2019-08-29,36.8,37.02,36.73,36.91,5123688
2019-08-30,37.25,37.34,36.91,37.09,4599533
2019-09-03,36.89,37.01,36.54,36.91,6094302
2019-09-04,37.31,38.32,37.24,38.24,8106851
2019-09-05,38.62,39.54,38.62,38.73,10747123
2019-09-06,38.92,38.93,38.52,38.78,5012699
2019-09-09,39.06,39.78,38.95,39.58,7543928
2019-09-10,39.2,39.68,38.84,39.58,7233592
2019-09-11,39.4,39.54,38.86,39.46,6991784
2019-09-12,39.41,39.49,38.9,39.07,6982125
2019-09-13,39.47,39.58,38.79,38.86,10133572
2019-09-16,37.97,38.16,36.97,37.21,15650269
2019-09-17,37.2,38.42,36.85,38.29,11404468
2019-09-18,38.15,38.35,37.92,38.18,6020721
2019-09-19,38.25,38.35,37.74,37.78,4949886
2019-09-20,38.06,38.07,37.29,37.37,18827409
2019-09-23,36.79,37.43,36.57,37.24,8231662
2019-09-24,37.34,37.49,36.55,36.77,8025683
2019-09-25,36.76,37.25,36.44,37.11,8461968
2019-09-26,37.36,37.89,37.17,37.61,8337758
2019-09-27,37.84,37.97,36.97,37.42,6879472
2019-09-30,37.53,37.58,37.01,37.48,7591572
2019-10-01,37.47,37.48,36.04,36.11,10128097
2019-10-02,35.77,35.77,34.41,34.68,13087970
2019-10-03,34.51,34.99,34.16,34.98,12122795
2019-10-04,35,35.19,34.58,34.91,7110646
2019-10-07,34.6,35.11,34.3,34.75,6867619
2019-10-08,34.31,34.47,33.71,33.88,11221297
2019-10-09,33.98,34.34,33.79,34.14,6361901
2019-10-10,34.45,35.3,34.21,34.66,10976209
2019-10-11,35.22,36,35.21,35.57,12239550
2019-10-14,35.39,35.56,35.27,35.5,5653992
2019-10-15,35.47,36.56,35.17,36.26,10719553
2019-10-16,36.49,37.22,36.45,36.65,13356271
2019-10-17,36.81,36.82,35.87,36.19,8739136
2019-10-18,36.09,36.37,36.01,36.17,6859606
2019-10-21,36.44,36.72,35.63,35.93,7429278
2019-10-22,35.77,36.58,35.56,36.31,6773553
2019-10-23,36.25,36.64,35.83,36.61,6468788
2019-10-24,36.62,36.77,35.75,35.82,6813476
2019-10-25,35.78,36.82,35.76,36.74,8735581
2019-10-28,37.21,37.3,36.49,36.64,10645494
2019-10-29,37.6,38.7,37.6,38.21,18562512
2019-10-30,38.26,38.26,37.42,37.91,7393204
2019-10-31,37.62,37.91,36.86,37.16,7652749
2019-11-01,37.21,38.07,37.21,37.97,7925272
2019-11-04,38.35,38.49,38.22,38.39,7782292
2019-11-05,38.61,38.89,38.21,38.23,7317805
2019-11-06,38.37,38.48,37.76,38.42,7280889
2019-11-07,38.6,38.9,38.46,38.49,8070100
2019-11-08,38.42,38.67,37.82,38.67,5913061
2019-11-11,38.6,38.8,38.38,38.72,3907447
2019-11-12,38.74,38.96,38.36,38.59,12687640
2019-11-13,38.4,38.4,37.09,37.19,12558966
2019-11-14,37.1,37.45,36.69,36.8,13024434
2019-11-15,37,37.11,36.73,36.89,12358880
2019-11-18,36.68,36.83,36.39,36.62,9768476
2019-11-19,36.67,36.7,36.01,36.38,10538836
2019-11-20,36.21,36.26,35.18,35.28,14064739
2019-11-21,35.53,35.58,34.59,34.67,14379801
2019-11-22,35.27,35.5,34.93,35.33,13567091
2019-11-25,35.45,35.89,35.35,35.81,12211451
2019-11-26,35.7,35.93,35.51,35.91,8248704
2019-11-27,36.01,36.27,35.85,36.14,5841215
2019-11-29,36.05,36.13,35.86,36,3927026
2019-12-02,36.01,36.36,35.84,35.88,6785427
2019-12-03,35.47,35.62,34.96,35.53,8276601
2019-12-04,35.74,36.05,35.68,35.8,8963211
2019-12-05,35.6,35.65,35.22,35.31,6893942
2019-12-06,35.64,35.76,35.45,35.54,8404793
2019-12-09,35.45,35.59,35.35,35.38,7055524
2019-12-10,35.35,35.38,34.96,35.11,7597677
2019-12-11,35.13,35.41,35.1,35.24,7754440
2019-12-12,35.34,36.29,35.24,36.1,11356779
2019-12-13,36.16,36.34,35.61,35.65,8278120
2019-12-16,35.82,36.25,35.65,36.11,11233742
2019-12-17,36.2,36.39,36.11,36.31,8871899
2019-12-18,36.34,37.43,36.33,37.31,12651699
2019-12-19,37.31,37.36,36.84,37.26,10774129
2019-12-20,37.54,37.62,37.19,37.25,13976425
2019-12-23,37.39,37.41,36.63,36.77,8755973
2019-12-24,36.73,36.74,36.5,36.58,2924240
2019-12-26,36.59,36.6,36.33,36.48,5444305
2019-12-27,36.56,36.71,36.43,36.56,5753508
2019-12-30,36.5,36.64,36.2,36.44,5358455
2019-12-31,36.37,36.74,36.32,36.6,5160227
2020-01-02,37,37.38,36.55,37.38,7457292
2020-01-03,36.73,36.92,36.11,36.32,9176038
2020-01-06,35.95,36.18,35.8,35.84,8413360
2020-01-07,35.75,35.84,34.74,35.15,17619967
2020-01-08,35.04,35.2,34.41,34.65,13229924
2020-01-09,34.99,35.1,34.53,35.08,9612874
2020-01-10,35.15,36.45,34.51,34.65,9647800
2020-01-13,34.69,35,34.49,34.98,7466898
2020-01-14,35,35.35,34.96,35.15,6828798
2020-01-15,35,35.32,34.89,35.15,7173939
2020-01-16,35.21,35.58,35.15,35.55,7280804
2020-01-17,35.57,35.73,35.41,35.6,9871725
2020-01-21,35.36,35.55,34.96,34.99,11550514
2020-01-22,35.13,35.35,34.86,34.91,7358445
2020-01-23,34.77,35,34.01,34.88,8595153
2020-01-24,34.9,34.99,34.01,34.31,9386634
2020-01-27,33.63,33.76,33.17,33.41,10359128
2020-01-28,33.57,33.86,33.34,33.64,8871039
2020-01-29,33.8,34.04,33.59,33.6,6978347
2020-01-30,33.4,33.45,32.97,33.33,11532975
2020-01-31,33.25,33.49,33.14,33.39,18631359
2020-02-03,33.56,34.34,33.52,33.72,17937071
2020-02-04,34.35,34.82,34.2,34.37,14346267
2020-02-05,34.9,35.45,34.19,35.03,19050389
2020-02-06,35.05,35.1,34.25,34.33,11866307
2020-02-07,34.08,34.16,33.43,33.63,14437134
2020-02-10,33.99,34.3,33.67,34.25,12260561
2020-02-11,34.34,35.26,34.07,35.01,12718580
2020-02-12,35.33,35.79,35.13,35.49,12076328
2020-02-13,35.21,35.53,35.16,35.29,7578794
2020-02-14,35.3,35.39,34.42,34.76,8945950
2020-02-18,34.25,34.74,33.96,34.41,10531932
2020-02-19,34.53,35.1,34.52,34.92,9079526
2020-02-20,34.66,35.4,34.59,35.29,7817861
2020-02-21,34.99,35.08,34.41,34.65,8432370
2020-02-24,33.64,33.75,32.79,33.09,14743094
2020-02-25,33.25,33.28,31.4,31.75,14621869
2020-02-26,32.1,32.61,31.89,32,14432820
2020-02-27,31.3,31.92,30.55,30.71,14940354
2020-02-28,29.78,30.5,29.33,30.5,20832323
2020-03-02,30.52,31.45,29.74,31.42,14994619
2020-03-03,31.5,32.3,30.26,30.52,15816152
2020-03-04,31,31.57,30.36,31.53,16227821
2020-03-05,30.54,30.77,30.01,30.1,17921345
2020-03-06,29.21,29.54,28.45,28.69,20009524
2020-03-09,26,26.12,24.15,24.69,28350596
2020-03-10,25.98,27.14,24.59,27.12,18287699
2020-03-11,26,26.62,25.76,26,21319198
2020-03-12,23.6,24.35,22.5,23.04,20344472
2020-03-13,24.6,25.33,22.9,24.71,17909817
2020-03-16,21.51,22.41,21,21,18056794
2020-03-17,21.31,21.58,19.5,20.32,23544424
2020-03-18,18.83,19.05,14.33,16.8,39591120
2020-03-19,16.34,18.99,15,17.71,34361822
2020-03-20,18.42,18.96,17.68,18.14,35702005
2020-03-23,18.01,18.56,17.23,17.6,25419726
2020-03-24,19.32,21.67,18.6,21.11,24082872
2020-03-25,23,23.15,21,21.49,27617207
2020-03-26,21.64,22.97,21.06,22.56,16990666
2020-03-27,21.37,21.96,20.74,21.38,18349686
2020-03-30,22.31,22.48,20.63,21.32,18477823
2020-03-31,20.97,22.21,20.55,20.78,20312832
2020-04-01,19.5,20.17,18.99,19.26,17467100
2020-04-02,19.1,19.69,17.79,18.19,17920646
2020-04-03,18.4,18.78,17.85,18.04,13835515
2020-04-06,19.1,19.76,18.55,19.55,22442074
2020-04-07,21.27,22.21,20.71,21.3,30405572
2020-04-08,21.74,23.6,21.47,23.13,23774358
2020-04-09,24.16,24.99,23.58,24.06,22490477
2020-04-13,24.04,24.1,22.72,23.01,14802606
2020-04-14,23.6,23.77,22.67,22.98,12654736
2020-04-15,21.92,22.27,21.47,21.66,12760859
2020-04-16,21.64,21.65,20.56,20.87,11501687
2020-04-17,21.92,22.54,21.83,22.48,17166298
2020-04-20,21.72,22.64,21.44,22.38,15912370
2020-04-21,21.27,21.89,20.98,21.24,13507349
2020-04-22,21.65,21.78,21.07,21.3,9553595
2020-04-23,21.55,22.06,21.45,21.52,10673000
2020-04-24,21.71,22.24,21.54,21.95,11991402
2020-04-27,21.52,22.57,21.14,22.45,20240596
2020-04-28,23.18,23.4,22.1,22.18,22085532
2020-04-29,22.75,24.57,22.68,23.78,23540997
2020-04-30,23.44,23.44,22.25,22.29,15272408
2020-05-01,21.65,21.76,20.8,20.9,17874488
2020-05-04,20.45,20.88,20.12,20.75,16188812
2020-05-05,21.25,21.97,21.12,21.26,17802261
2020-05-06,23.05,23.65,21.83,21.89,34430543
2020-05-07,22.18,22.98,22.03,22.44,16983203
2020-05-08,23.07,24,23.05,23.93,16562348
2020-05-11,23.25,23.39,22.59,22.8,16754036
2020-05-12,22.99,23.27,22.55,22.56,12182920
2020-05-13,22.44,22.45,21.13,21.46,16832581
2020-05-14,20.66,22.34,20.49,22.31,15629092
2020-05-15,21.97,22.68,21.83,22.63,14221282
2020-05-18,24,25.21,24,24.81,23289194
2020-05-19,24.75,25.7,24.29,24.69,18484597
2020-05-20,25.31,25.89,25.22,25.48,14056780
2020-05-21,25.29,26.02,25.21,25.8,14320717
2020-05-22,25.99,26.23,25.22,25.98,14317399
2020-05-26,27.82,27.89,27.25,27.4,18870479
2020-05-27,28.53,28.83,26.91,27.79,15030744
2020-05-28,27.86,27.94,26.6,26.68,11673961
2020-05-29,26.35,26.57,25.69,25.88,22223456
2020-06-01,25.99,27.22,25.91,26.94,10478952
2020-06-02,27.32,27.62,26.95,27.41,10953773
2020-06-03,28.42,29.13,28.25,29.07,16860902
2020-06-04,28.86,29.44,28.52,29.16,16328793
2020-06-05,31,31.15,29.81,30.61,29418645
2020-06-08,31.22,31.66,30.6,30.68,15234200
2020-06-09,29.4,30.22,28.71,29.86,16945519
2020-06-10,29.8,29.84,28.42,28.75,15647982
2020-06-11,26.62,27.8,26.29,26.5,19121916
2020-06-12,28.72,28.96,27.07,27.96,21587200
2020-06-15,26.61,28.1,26.57,27.77,15321200
2020-06-16,29.11,29.18,27.48,27.78,17466144
2020-06-17,27.78,28.05,27.13,27.16,11123842
2020-06-18,26.9,27.55,26.71,27.09,11086368
2020-06-19,27.74,27.83,26.33,26.59,27880402
2020-06-22,26.6,26.64,25.85,26.37,13079482
2020-06-23,26.75,26.85,26.23,26.25,12455447
2020-06-24,25.85,25.98,25.01,25.28,14887786
2020-06-25,25,25.29,24.54,25.23,14328321
2020-06-26,25,25.11,24.25,24.46,16476831
2020-06-29,24.71,25.35,24.48,25.3,10011694
2020-06-30,25.09,25.6,24.74,25.3,14321970
2020-07-01,25.3,25.94,24.93,24.96,11963033
2020-07-02,25.62,25.85,25.08,25.24,22202259
2020-07-06,25.96,26.04,25.43,25.73,9172140
2020-07-07,25.59,25.63,25.06,25.13,11950538
2020-07-08,25.19,25.26,24.67,24.94,11111568
2020-07-09,24.76,24.83,23.33,23.42,17778150
2020-07-10,23.55,24.4,23.33,24.39,15660006
2020-07-13,24.65,25.19,24.37,24.86,14766806
2020-07-14,24.8,25.85,24.67,25.64,16477078
