Date,Open,High,Low,Close,Volume
2019-07-15,1146.86,1150.82,1139.4,1150.34,903780
2019-07-16,1146,1158.58,1145,1153.58,1238807
2019-07-17,1150.97,1158.36,1145.77,1146.35,1170047
2019-07-18,1141.74,1147.61,1132.73,1146.33,1291281
2019-07-19,1148.19,1151.14,1129.62,1130.1,1647245
2019-07-22,1133.45,1139.25,1124.24,1138.07,1301846
2019-07-23,1144,1146.9,1131.8,1146.21,1093688
2019-07-24,1131.9,1144,1126.99,1137.81,1590101
2019-07-25,1137.82,1141.7,1120.92,1132.12,2209823
2019-07-26,1224.04,1265.55,1224,1250.41,4805752
2019-07-29,1241.05,1247.37,1228.23,1239.41,2223731
2019-07-30,1225.41,1234.87,1223.3,1225.14,1453263
2019-07-31,1223,1234,1207.76,1216.68,1725454
2019-08-01,1214.03,1234.11,1205.72,1209.01,1698510
2019-08-02,1200.74,1206.9,1188.94,1193.99,1645067
2019-08-05,1170.04,1175.24,1140.14,1152.32,2597455
2019-08-06,1163.31,1179.96,1160,1169.95,1709374
2019-08-07,1156,1178.45,1149.62,1173.99,1444324
2019-08-08,1182.83,1205.01,1173.02,1204.8,1467997
2019-08-09,1197.99,1203.88,1183.6,1188.01,1065658
2019-08-12,1179.21,1184.96,1167.67,1174.71,1003187
2019-08-13,1171.46,1204.78,1171.46,1197.27,1318009
2019-08-14,1176.31,1182.3,1160.54,1164.29,1578668
2019-08-15,1163.5,1175.84,1162.11,1167.26,1224739
2019-08-16,1179.55,1182.72,1171.81,1177.6,1349436
2019-08-19,1190.09,1206.99,1190.09,1198.45,1232517
2019-08-20,1195.25,1196.06,1182.11,1182.69,915605
2019-08-21,1193.15,1199,1187.43,1191.25,741053
2019-08-22,1194.07,1198.01,1178.58,1189.53,947906
2019-08-23,1181.99,1194.08,1147.75,1151.29,1688271
2019-08-26,1157.26,1169.47,1152.96,1168.89,1226441
2019-08-27,1180.53,1182.4,1161.45,1167.84,1077452
2019-08-28,1161.71,1176.42,1157.3,1171.02,802243
2019-08-29,1181.12,1196.06,1181.12,1192.85,1088858
2019-08-30,1198.5,1198.5,1183.8,1188.1,1129959
2019-09-03,1177.03,1186.89,1163.2,1168.39,1480420
2019-09-04,1176.71,1183.48,1171,1181.41,1068968
2019-09-05,1191.53,1213.04,1191.53,1211.38,1408601
2019-09-06,1208.13,1212.02,1202.52,1204.93,1072143
2019-09-09,1204,1220,1192.62,1204.41,1471880
2019-09-10,1195.15,1210,1194.58,1206,1260115
2019-09-11,1203.41,1222.6,1202.2,1220.17,1307033
2019-09-12,1224.3,1241.86,1223.02,1234.25,1725908
2019-09-13,1231.35,1240.88,1227.01,1239.56,1301350
2019-09-16,1229.52,1239.56,1225.61,1231.3,1053299
2019-09-17,1230.4,1235,1223.69,1229.15,958112
2019-09-18,1227.51,1235.61,1216.53,1232.41,1144333
2019-09-19,1232.06,1244.44,1232.02,1238.71,1000155
2019-09-20,1233.12,1243.32,1223.08,1229.93,2337269
2019-09-23,1226,1239.09,1224.17,1234.03,1075253
2019-09-24,1240,1246.74,1210.68,1218.76,1591786
2019-09-25,1215.82,1248.3,1210.09,1246.52,1593875
2019-09-26,1241.96,1245,1232.27,1241.39,1561882
2019-09-27,1243.01,1244.02,1214.45,1225.09,1354432
2019-09-30,1220.97,1226,1212.3,1219,1419676
2019-10-01,1219,1231.23,1203.58,1205.1,1358279
2019-10-02,1196.98,1196.99,1171.29,1176.63,1639237
2019-10-03,1180,1189.06,1162.43,1187.83,1663656
2019-10-04,1191.89,1211.44,1189.17,1209,1183264
2019-10-07,1204.4,1218.2,1203.75,1207.68,867149
2019-10-08,1197.59,1206.08,1189.01,1189.13,1141784
2019-10-09,1199.35,1208.35,1197.63,1202.31,876632
2019-10-10,1198.58,1215,1197.34,1208.67,932531
2019-10-11,1222.21,1228.39,1213.74,1215.45,1277144
2019-10-14,1212.34,1226.33,1211.76,1217.14,882039
2019-10-15,1220.4,1247.33,1220.4,1243.01,1395259
2019-10-16,1241.17,1254.74,1238.45,1243.64,1168174
2019-10-17,1250.93,1263.33,1249.94,1253.07,980510
2019-10-18,1253.46,1258.89,1241.08,1245.49,1352839
2019-10-21,1252.26,1254.63,1240.6,1246.15,1038042
2019-10-22,1247.85,1250.6,1241.38,1242.8,1047851
2019-10-23,1242.36,1259.89,1242.36,1259.13,928595
2019-10-24,1260.9,1264,1253.71,1260.99,1039868
