Date,Open,High,Low,Close,Volume
2019-07-15,14.29,14.43,14.28,14.42,17348939
2019-07-16,14.51,14.7,14.5,14.54,39105546
2019-07-17,14.75,14.98,14.74,14.94,27911792
2019-07-18,15.07,15.32,15.01,15.29,38318791
2019-07-19,15.4,15.54,15.03,15.17,41873581
2019-07-22,15.3,15.39,15.28,15.35,18111290
2019-07-23,15.41,15.49,15.33,15.34,23827079
2019-07-24,15.54,15.59,15.48,15.52,15739909
2019-07-25,15.47,15.48,15.27,15.36,19998725
2019-07-26,15.42,15.43,15.29,15.31,10282905
2019-07-29,15.36,15.43,15.3,15.4,10652840
2019-07-30,15.45,15.55,15.39,15.5,9505368
2019-07-31,15.39,15.43,15.16,15.21,28741412
2019-08-01,15,15.34,14.98,15.34,28690666
2019-08-02,15.09,15.27,15.08,15.19,20157537
2019-08-05,15.37,15.49,15.22,15.33,31227076
2019-08-06,15.4,15.43,15.32,15.38,12926205
2019-08-07,15.85,16.15,15.83,15.97,49867913
2019-08-08,15.78,15.99,15.74,15.89,23338167
2019-08-09,15.85,15.97,15.78,15.89,14846740
2019-08-12,15.86,16.07,15.84,15.98,20240610
2019-08-13,16.18,16.19,15.47,15.87,37886831
2019-08-14,16.12,16.22,15.98,16.08,36647560
2019-08-15,16.13,16.18,16.06,16.13,17074289
2019-08-16,16.1,16.14,15.97,16.02,16425866
2019-08-19,15.87,15.94,15.78,15.79,14622947
2019-08-20,15.91,16.09,15.91,16.05,12229814
2019-08-21,15.99,16.1,15.95,16.05,12415800
2019-08-22,15.98,16.05,15.95,15.97,7015141
2019-08-23,16.04,16.36,15.98,16.35,25982990
2019-08-26,16.5,16.63,16.45,16.52,22964253
2019-08-27,16.84,17.04,16.77,17.03,38883749
2019-08-28,17.15,17.25,17.01,17.17,30880892
2019-08-29,17.36,17.41,16.88,17.07,52544417
2019-08-30,17.09,17.26,17,17.15,28394821
2019-09-03,17.59,17.94,17.52,17.89,40489687
2019-09-04,18.08,18.35,18.05,18.34,34346829
2019-09-05,17.98,17.98,17.29,17.41,53330604
2019-09-06,17.49,17.59,16.8,16.87,68358114
2019-09-09,16.93,17.01,16.8,16.83,26029994
2019-09-10,16.96,17.01,16.85,16.85,22611936
2019-09-11,16.8,16.98,16.79,16.95,16979423
2019-09-12,16.98,17.11,16.85,16.92,29348651
2019-09-13,16.9,16.94,16.28,16.31,42316981
2019-09-16,16.71,16.84,16.6,16.74,21190038
2019-09-17,16.73,16.92,16.66,16.86,12810582
2019-09-18,16.75,16.84,16.38,16.55,29102321
2019-09-19,16.72,16.75,16.61,16.62,10573714
2019-09-20,16.65,16.8,16.61,16.8,14290134
