Date,Open,High,Low,Close,Volume
2019-07-15,4.8,4.92,4.68,4.83,2946682
2019-07-16,4.87,5.04,4.77,4.8,3734541
2019-07-17,4.81,4.87,4.68,4.76,2200141
2019-07-18,4.72,4.88,4.69,4.8,2205405
2019-07-19,4.8,4.91,4.75,4.83,2655191
2019-07-22,4.85,4.9,4.66,4.69,3289496
2019-07-23,4.69,4.72,4.48,4.56,2588618
2019-07-24,4.58,4.64,4.41,4.44,2739225
2019-07-25,4.46,4.49,4.24,4.27,3916896
2019-07-26,4.27,4.31,4.22,4.26,1707071
2019-07-29,4.26,4.31,4.05,4.21,2078536
2019-07-30,4.18,4.52,4.14,4.46,2580497
2019-07-31,4.47,4.75,4.47,4.49,2993852
2019-08-01,4.67,4.69,4.23,4.45,4095288
2019-08-02,4.45,4.47,4.27,4.28,2284601
2019-08-05,4.15,4.23,4.08,4.19,1887589
2019-08-06,4.24,4.31,4.06,4.22,2105783
2019-08-07,4.14,4.44,4.06,4.36,2463403
2019-08-08,4.45,4.6,4.4,4.6,2062930
2019-08-09,4.65,4.75,4.57,4.63,2071540
2019-08-12,4.7,4.76,4.54,4.66,1750280
2019-08-13,4.59,4.84,4.59,4.8,1653917
2019-08-14,4.57,4.63,4.32,4.33,2278105
2019-08-15,4.32,4.33,4.11,4.17,2073286
2019-08-16,4.24,4.42,4.2,4.39,1780871
2019-08-19,4.48,4.7,4.47,4.64,1947426
2019-08-20,4.61,4.77,4.58,4.71,1563380
2019-08-21,4.77,4.89,4.64,4.7,1850710
2019-08-22,4.69,4.71,4.39,4.41,1738535
2019-08-23,4.31,4.38,4.04,4.06,3373801
2019-08-26,4.18,4.22,4.05,4.1,2256406
2019-08-27,4.17,4.17,3.96,4.08,2230385
2019-08-28,4.14,4.3,4.08,4.18,2313345
2019-08-29,4.28,4.62,4.18,4.58,3292214
2019-08-30,4.59,4.59,4.3,4.38,2681773
2019-09-03,4.27,4.27,4.11,4.22,2231685
2019-09-04,4.35,4.49,4.3,4.4,1488129
2019-09-05,4.47,4.67,4.44,4.53,1997718
2019-09-06,4.45,4.5,4.31,4.38,1389310
2019-09-09,4.47,4.73,4.45,4.73,2683424
2019-09-10,4.75,5.4,4.73,5.07,5588330
2019-09-11,5.16,5.37,4.82,4.9,3632980
2019-09-12,4.68,4.94,4.59,4.6,2973858
2019-09-13,4.67,5.02,4.58,4.64,3753886
2019-09-16,5.38,5.94,5.21,5.93,8405524
2019-09-17,5.89,5.89,5.12,5.25,4438867
2019-09-18,5.03,5.13,4.93,5.06,2324934
2019-09-19,5.16,5.23,4.7,4.79,4249094
2019-09-20,4.84,4.92,4.76,4.78,6746671
2019-09-23,4.74,4.84,4.65,4.7,2402734
2019-09-24,4.67,4.72,4.56,4.66,2365999
2019-09-25,4.57,4.72,4.49,4.64,1606513
2019-09-26,4.6,4.65,4.33,4.51,2689152
2019-09-27,4.38,4.65,4.36,4.49,2514134
2019-09-30,4.43,4.47,4.36,4.37,1629279
2019-10-01,4.4,4.57,4.2,4.2,2416845
2019-10-02,4.19,4.33,3.93,3.96,5263505
2019-10-03,3.91,4.16,3.89,4.16,2325103
2019-10-04,4.19,4.24,4.08,4.2,1551003
2019-10-07,4.2,4.25,4.1,4.12,1670189
2019-10-08,4.07,4.15,4.01,4.01,1608432
2019-10-09,4.1,4.13,3.96,4.06,2150743
2019-10-10,4.05,4.13,4,4.05,1569673
2019-10-11,4.17,4.27,4.08,4.22,2002902
2019-10-14,4.13,4.16,4.06,4.1,1390055
2019-10-15,4.07,4.23,4.04,4.15,1288668
2019-10-16,4.12,4.26,4.12,4.13,1270052
2019-10-17,4.13,4.19,4.08,4.15,1180654
2019-10-18,4.16,4.2,4.08,4.11,1663928
2019-10-21,4.11,4.2,4.03,4.2,1477298
2019-10-22,4.21,4.38,4.15,4.32,1862152
2019-10-23,4.27,4.46,4.24,4.34,1791191
2019-10-24,4.38,4.41,4.19,4.21,1395825
2019-10-25,4.18,4.28,4.13,4.22,1593372
2019-10-28,4.25,4.36,4.2,4.3,2497638
2019-10-29,4.24,4.43,4.21,4.36,2614138
2019-10-30,4.35,4.35,4.06,4.09,2972704
2019-10-31,4.12,4.15,3.75,4.03,4741571
2019-11-01,4.05,4.08,3.91,4.01,3130975
2019-11-04,4.08,4.31,4.07,4.24,4504061
2019-11-05,4.28,4.58,4.26,4.44,4315089
2019-11-06,4.35,4.36,4.2,4.29,3727566
2019-11-07,4.33,4.53,4.32,4.48,3095097
2019-11-08,4.39,4.46,4.32,4.4,2943858
2019-11-11,4.29,4.43,4.24,4.33,2146266
2019-11-12,4.36,4.49,4.3,4.32,1834752
2019-11-13,4.3,4.39,4.23,4.27,1654314
2019-11-14,4.3,4.53,4.3,4.51,3167202
2019-11-15,4.53,4.62,4.37,4.4,3078569
2019-11-18,4.34,4.39,4.15,4.24,2708698
2019-11-19,4.2,4.24,4.02,4.04,3267720
2019-11-20,4.09,4.1,3.92,3.97,3657884
2019-11-21,4.01,4.12,3.95,4.03,3115431
2019-11-22,4.09,4.3,4.08,4.23,3714743
2019-11-25,4.2,4.38,4.17,4.36,2140108
2019-11-26,4.37,4.4,4.29,4.32,1873470
2019-11-27,4.35,4.39,4.25,4.39,1344998
2019-11-29,4.35,4.39,4.24,4.28,1283182
2019-12-02,4.33,4.36,4.09,4.11,3210370
2019-12-03,4.04,4.16,3.99,4.11,2279265
2019-12-04,4.21,4.45,4.17,4.42,3254035
2019-12-05,4.46,4.48,4.27,4.3,2431998
2019-12-06,4.31,4.5,4.31,4.43,2675048
2019-12-09,4.37,4.52,4.36,4.47,1582905
2019-12-10,4.47,4.58,4.42,4.49,1210136
2019-12-11,4.49,4.65,4.45,4.48,1582544
2019-12-12,4.5,4.64,4.48,4.61,1781446
2019-12-13,4.63,4.76,4.57,4.72,2367334
2019-12-16,4.76,4.99,4.68,4.98,3223352
2019-12-17,5,5.19,4.97,5.19,2366723
2019-12-18,5.15,5.45,5.13,5.25,2811501
2019-12-19,5.22,5.45,5.18,5.43,2508013
2019-12-20,5.45,5.48,5.26,5.37,3409628
2019-12-23,5.35,5.5,5.24,5.48,1928881
2019-12-24,5.5,5.66,5.5,5.58,816683
2019-12-26,5.63,5.78,5.63,5.66,1151835
2019-12-27,5.68,5.71,5.37,5.39,2251072
2019-12-30,5.44,5.63,5.41,5.49,2286486
2019-12-31,5.45,5.68,5.38,5.56,2090534
2020-01-02,5.61,5.64,5.35,5.42,3160853
2020-01-03,5.73,6.1,5.71,5.8,5270550
2020-01-06,5.92,5.98,5.66,5.75,3362655
2020-01-07,5.7,5.81,5.57,5.81,2838728
2020-01-08,5.81,5.87,5.31,5.37,3903402
2020-01-09,5.34,5.37,5.08,5.29,3757849
2020-01-10,5.24,5.25,5.11,5.13,1838191
2020-01-13,5.1,5.12,4.85,5.06,2961725
2020-01-14,5.07,5.27,4.99,5.25,2555537
2020-01-15,5.17,5.26,5.17,5.25,1579266
2020-01-16,5.32,5.4,5.27,5.3,1888861
2020-01-17,5.33,5.4,5.13,5.17,2187355
2020-01-21,5.1,5.11,4.92,4.93,1742583
2020-01-22,4.9,4.95,4.69,4.79,2028317
2020-01-23,4.68,4.73,4.56,4.66,2706432
2020-01-24,4.59,4.65,4.38,4.48,2291133
2020-01-27,4.37,4.45,4.3,4.41,2932091
2020-01-28,4.49,4.54,4.39,4.51,1771031
2020-01-29,4.55,4.58,4.31,4.32,1852351
2020-01-30,4.25,4.32,4.15,4.3,1779406
2020-01-31,4.22,4.24,4.06,4.14,2078673
2020-02-03,4.1,4.18,4.03,4.04,3286007
2020-02-04,4.12,4.25,4.06,4.1,2028862
2020-02-05,4.23,4.3,4.18,4.27,1829107
2020-02-06,4.3,4.32,4.12,4.13,1742625
2020-02-07,4.1,4.11,4,4.06,2945258
2020-02-10,4,4.09,3.95,3.98,3843283
2020-02-11,4.07,4.11,3.92,3.93,3592946
2020-02-12,4.06,4.1,3.83,3.84,4290538
2020-02-13,3.84,3.9,3.75,3.76,2198974
2020-02-14,3.77,3.8,3.62,3.64,3197238
2020-02-18,3.64,3.73,3.57,3.59,2457679
2020-02-19,3.63,3.73,3.52,3.7,2864790
2020-02-20,3.72,3.72,3.56,3.58,2923068
2020-02-21,3.53,3.54,3.36,3.38,3015027
2020-02-24,3.14,3.23,3.03,3.23,3180480
2020-02-25,3.34,3.35,3.11,3.13,3122397
2020-02-26,3.15,3.15,2.82,2.9,3924166
2020-02-27,2.8,2.87,2.55,2.83,4278689
2020-02-28,2.69,2.74,2.37,2.6,6294190
2020-03-02,2.74,2.74,2.55,2.6,3368073
2020-03-03,2.77,2.83,2.47,2.51,3457914
2020-03-04,2.55,2.62,2.38,2.42,3861338
2020-03-05,2.48,2.53,2.2,2.23,7601041
2020-03-06,2.09,2.2,1.98,2,8003725
2020-03-09,1.53,1.85,1.37,1.55,12513702
2020-03-10,1.89,2,1.71,1.9,8564290
2020-03-11,1.9,1.92,1.52,1.54,8960528
2020-03-12,1.41,1.57,1.4,1.41,8863032
2020-03-13,1.5,1.51,1.24,1.42,12348289
2020-03-16,1.26,1.28,1.09,1.09,9155305
2020-03-17,1.2,1.25,1.09,1.22,7903472
2020-03-18,1.15,1.22,1.07,1.15,4491517
2020-03-19,1.21,1.91,1.17,1.63,8788839
2020-03-20,1.75,1.8,1.47,1.58,6302901
2020-03-23,1.45,1.53,1.4,1.41,3391973
2020-03-24,1.55,1.65,1.47,1.64,5276830
2020-03-25,1.8,1.8,1.58,1.71,7026997
2020-03-26,1.72,1.86,1.65,1.71,6946061
2020-03-27,1.65,1.65,1.53,1.55,4628877
2020-03-30,1.52,1.57,1.27,1.55,5270771
2020-03-31,1.71,1.75,1.64,1.7,5626273
2020-04-01,1.6,1.62,1.44,1.48,6479143
2020-04-02,1.63,1.78,1.51,1.68,10416109
2020-04-03,1.77,1.92,1.6,1.79,12457462
2020-04-06,1.75,1.77,1.65,1.77,7717936
2020-04-07,1.92,1.98,1.76,1.83,9122357
2020-04-08,1.93,2.16,1.85,2.12,10453795
2020-04-09,2.33,2.52,2.03,2.32,17500436
2020-04-13,2.32,2.42,2.05,2.12,7902221
2020-04-14,2.15,2.17,1.99,2.17,7165302
2020-04-15,2.03,2.1,1.91,2.02,5687153
2020-04-16,1.99,2.02,1.92,1.95,4569405
2020-04-17,1.99,2.05,1.86,2.05,9914932
2020-04-20,1.89,2.2,1.84,2.09,17551321
2020-04-21,2.11,2.16,2,2.11,9265537
2020-04-22,2.24,2.37,2.13,2.37,10128906
2020-04-23,2.56,2.95,2.46,2.7,18009834
2020-04-24,2.94,3,2.54,2.55,13747550
2020-04-27,2.42,2.63,2.27,2.58,8178145
2020-04-28,2.65,2.72,2.55,2.6,4277885
2020-04-29,2.78,2.83,2.69,2.79,8914089
2020-04-30,2.89,2.91,2.63,2.77,8961941
2020-05-01,2.67,2.82,2.49,2.54,8162775
2020-05-04,2.43,2.68,2.39,2.62,5219589
2020-05-05,2.8,2.83,2.61,2.62,5681235
2020-05-06,2.65,2.68,2.55,2.56,4396515
2020-05-07,2.65,2.77,2.64,2.7,5215385
2020-05-08,2.72,2.8,2.7,2.79,4709816
2020-05-11,2.78,2.82,2.71,2.74,4298389
2020-05-12,2.81,2.83,2.7,2.7,4193315
2020-05-13,2.7,2.75,2.43,2.45,9577653
2020-05-14,2.4,2.6,2.25,2.54,6321584
2020-05-15,2.56,2.7,2.51,2.64,4881721
2020-05-18,2.79,2.85,2.64,2.72,7838725
2020-05-19,2.74,2.76,2.57,2.57,4889136
2020-05-20,2.67,2.75,2.64,2.72,5093210
2020-05-21,2.75,2.76,2.59,2.7,5728495
2020-05-22,2.65,2.74,2.6,2.74,4319310
2020-05-26,2.8,2.82,2.68,2.69,4559036
2020-05-27,2.7,2.74,2.6,2.74,5209206
2020-05-28,2.68,2.73,2.59,2.61,5214388
2020-05-29,2.58,2.7,2.55,2.61,5713952
2020-06-01,2.62,2.88,2.6,2.85,11020591
2020-06-02,2.85,2.94,2.75,2.79,5537871
2020-06-03,2.89,2.89,2.76,2.8,4104700
2020-06-04,2.72,2.83,2.7,2.82,5526294
2020-06-05,2.89,3.33,2.83,3.3,11496071
2020-06-08,3.58,3.97,3.41,3.77,12196925
2020-06-09,3.73,3.73,3.31,3.43,7432953
2020-06-10,3.38,3.4,3.12,3.18,5493826
2020-06-11,2.83,3.07,2.76,2.76,6522623
2020-06-12,3.03,3.03,2.8,2.86,5091426
2020-06-15,2.7,2.86,2.66,2.82,6218443
2020-06-16,3.02,3.03,2.8,2.97,7586505
2020-06-17,3,3,2.71,2.71,6409578
2020-06-18,2.7,2.8,2.61,2.63,7456955
2020-06-19,2.7,2.7,2.55,2.57,14799728
2020-06-22,2.62,2.64,2.45,2.56,7925747
2020-06-23,2.66,2.68,2.54,2.57,8638897
2020-06-24,2.53,2.54,2.34,2.39,9848322
2020-06-25,2.33,2.54,2.31,2.41,8152231
2020-06-26,2.44,2.45,2.18,2.23,8808629
2020-06-29,2.28,2.4,2.28,2.32,5785612
2020-06-30,2.29,2.31,2.22,2.28,4222615
2020-07-01,2.3,2.39,2.23,2.25,4480802
2020-07-02,2.29,2.31,2.2,2.26,5442339
2020-07-06,2.27,2.28,2.12,2.21,5631043
2020-07-07,2.15,2.23,2.12,2.15,4413989
2020-07-08,2.15,2.28,2.11,2.26,4467465
2020-07-09,2.25,2.28,2.15,2.15,3499128
2020-07-10,2.19,2.37,2.15,2.3,7322241
2020-07-13,2.41,2.44,2.3,2.32,7029669
2020-07-14,2.34,2.5,2.31,2.5,4623509
